paper_id,paper,对象归属度,材料归属度,范畴自主度,解释目标归属度,体系映射度,五轴总分,强度,一致性,需复核,R2模式
200,7000571350_柏恩敬等_2018_交大法学_律师刑事辩护中的职业伦理——中美比较制度与实践对话录.md,2,2,1,2,2,9,strong,medium,False,full
201,7000571351_吴洪淇_2018_交大法学_律师职业伦理规范建设的回顾与前瞻.md,2,2,1,2,2,9,strong,medium,False,full
202,7000571352_兰荣杰_2018_交大法学_刑辩律师维护当事人利益的行为界限.md,2,2,2,2,2,10,strong,high,False,skip
203,7000571353_梁译如_2018_交大法学_法官审判裁量情境中的话语实践考察——“议论的法社会学”视角.md,2,2,2,2,2,10,strong,high,False,light
204,7000571354_张峰铭_2018_交大法学_为法律道德主义辩护——从侮辱尸体罪切入.md,1,0,0,1,1,3,weak,high,False,full
205,7000571355_赵炜佳_2018_交大法学_墨家刑事法思想解读--在西方启蒙主义坐标系之上.md,2,2,0,1,1,6,medium,high,False,full
206,7000571356_杨益章等_2018_交大法学_忠实义务下的雇员言论边界.md,2,1,2,2,2,9,strong,high,False,full
207,7000571357_董学智等_2018_交大法学_论税法上的不确定法律概念.md,2,2,0,2,1,7,medium,medium,False,full
208,7000571358_张静_2018_交大法学_论南非物权自由原则的实践和启示--兼议物权编物权法定原则之缓和.md,2,1,1,2,2,8,strong,high,False,full
209,7000571359_万旭等_2018_交大法学_刑事证据采纳中的裁量问题 欧洲人权法院的实践及其启示.md,1,0,1,2,1,5,medium,medium,True,full
210,7000571360_赵廉慧和朱庆育_2018_交大法学_信托财产确定性和信托的效力--简评世欣荣和诉长安信托案.md,2,2,1,1,1,7,medium,medium,False,full
211,7001123896_王志安_2019_交大法学_云计算和大数据时代的国家立法管辖权——数据本地化与数据全球化的大对抗.md,0,0,0,0,0,0,absent,high,False,light
212,7001123897_胡凌_2019_交大法学_数字社会权力的来源 评分、算法与规范的再生产.md,2,2,2,2,2,10,strong,high,False,full
213,7001123898_戴昕_2019_交大法学_数据隐私问题的维度扩展与议题转换 法律经济学视角.md,0,0,0,0,0,0,absent,low,True,full
214,7001123899_韩宝_2019_交大法学_理解法律地理学——关于法律的一种空间思考.md,0,0,0,0,1,1,absent,medium,False,full
215,7001123900_谢波_2019_交大法学_乱世与法制 五代后晋的刑事立法、司法及其承启性(上).md,2,2,1,2,2,9,strong,high,False,full
216,7001123901_刘懂礼_2019_交大法学_清律“棍徒”之甄辨及立法逻辑探析.md,2,2,2,2,2,10,strong,high,False,skip
217,7001123902_沈伟_2019_交大法学_萌芽时期的中国近代法学教育——基于南洋公学特班的研究.md,2,2,0,2,1,7,medium,medium,False,full
218,7001123903_谭清值_2019_交大法学_行政处罚规范的合宪性解释——基于66个行政处罚案例的实证考察.md,2,2,2,2,2,10,strong,high,False,light
219,7001123904_孙犀铭_2019_交大法学_意思能力的体系定位与规范适用(上).md,2,2,1,2,2,9,strong,medium,False,full
220,7001123905_李子龙_2019_交大法学_刑事再审请求审的证据审查模式.md,2,2,1,2,2,9,strong,medium,False,full
221,7001123906_隋璐明_2019_交大法学_将来给付之诉的理据研究——胎儿生活费请求权之诉的另一种实现路径.md,2,2,1,2,2,9,strong,medium,False,full
222,7001123907_刘海安_2019_交大法学_个人信息泄露因果关系的证明责任——评庞某某与东航、趣拿公司人格权纠纷案.md,2,2,1,2,2,9,strong,high,False,full
223,7001708825_楼建波_2019_交大法学_信托财产关系与物权法原则的冲突--兼论信托财产关系的民法典表达.md,2,2,2,2,2,10,strong,high,False,light
224,7001708826_曹兴权_2019_交大法学_信托受托人忠实义务中受益人利益的定位 单一主义与衡量主义之间.md,2,2,1,2,2,9,strong,high,False,full
225,7001708827_张凇纶_2019_交大法学_民法典时代信托融入的路径选择.md,1,0,1,2,2,6,medium,medium,False,full
226,7001708828_徐卫_2019_交大法学_信托融入民法典的逻辑理据与体例选择.md,1,1,1,2,1,6,medium,medium,False,full
227,7001708829_陈一新_2019_交大法学_论信托财产的主体性.md,2,2,2,2,2,10,strong,high,False,light
228,7001708830_陈邦达_2019_交大法学_医疗损害鉴定不信任问题研究--以上海市“一元化”模式为例.md,2,2,1,2,1,8,strong,high,False,skip
229,7001708831_谢波_2019_交大法学_乱世与法制 五代后晋的刑事立法、司法及其承启性(下).md,2,2,2,2,2,10,strong,high,False,full
230,7001708832_孙犀铭_2019_交大法学_意思能力的体系定位与规范适用(下).md,2,2,2,2,2,10,strong,high,False,full
231,7001708833_陈苏豪_2019_交大法学_侦查初期律师帮助权的欧洲标准及其启示--以欧洲人权法院萨多斯诉土耳其案为中心的分析.md,0,0,0,0,0,0,absent,low,True,full
232,7001708834_范志勇_2019_交大法学_论骗取出口退税款的破产清偿顺位.md,2,2,1,2,1,8,strong,medium,False,full
233,7001708835_胡加祥_2019_交大法学_亚太自贸区法律框架构建路径研究.md,1,1,0,1,1,4,weak,high,False,light
234,7001708836_赵宏_2019_交大法学_原告资格从“不利影响”到“主观公权利”的转向与影响--刘广明诉张家港市人民政府行政复议案评析.md,2,2,1,2,2,9,strong,medium,False,full
235,7002418906_胡凌_2019_交大法学_平台视角中的人工智能法律责任.md,2,2,2,2,2,10,strong,high,False,full
236,7002418907_郭明龙和王菁_2019_交大法学_人工智能法律人格赋予之必要性辨析.md,2,1,0,2,2,7,medium,medium,False,full
237,7002418908_徐小奔和杨依楠_2019_交大法学_论人工智能深度学习中著作权的合理使用.md,2,2,1,2,1,8,strong,medium,False,full
238,7002418909_王利明_2019_交大法学_总分结构理论与我国民法典的编纂.md,2,2,1,2,2,9,strong,high,False,full
239,7002418910_范奇_2019_交大法学_论高校“办学自主权”的双面法治逻辑及统合.md,2,2,2,2,2,10,strong,high,False,light
240,7002418911_莫里茨·伦纳(Mo i z Re e )和周万里(译)_2019_交大法学_社会理论法学的兴起——贡塔·托依布纳的生平、著述及影响.md,0,0,0,0,0,0,absent,high,False,full
241,7002418912_杨扬_2019_交大法学_从民习到官法——明代社会视野下的图赖现象.md,2,2,2,2,2,10,strong,high,False,light
242,7002418914_刘东辉_2019_交大法学_公司法如何面对家庭秩序——以一个家族公司的裁判为例.md,2,2,1,2,2,9,strong,high,False,light
243,7002418915_黄凯绅_2019_交大法学_仲裁临时保全措施及法院本位主义 法制变革上的建议.md,2,2,1,2,2,9,strong,high,False,full
244,7002418916_沈岿_2019_交大法学_行政行为实施主体不明情形下的行政诉讼适格被告——评“程宝田诉历城区人民政府行政强制案再审裁定”.md,2,2,2,2,2,10,strong,high,False,light
245,7002988348_高富平_2019_交大法学_数据生产理论——数据资源权利配置的基础理论.md,0,0,0,0,1,1,absent,medium,False,full
246,7002988349_徐伟_2019_交大法学_企业数据获取“三重授权原则”反思及类型化构建.md,2,2,2,2,2,10,strong,high,False,light
247,7002988350_陈吉栋_2019_交大法学_个人信息的侵权救济.md,2,2,2,2,2,10,strong,high,False,skip
248,7002988351_苏宇和高文英_2019_交大法学_个人信息的身份识别标准 源流、实践与反思.md,2,2,2,2,2,10,strong,high,False,full
249,7002988352_艾佳慧_2019_交大法学_回到“定分”经济学 法律经济学对科斯定理的误读与澄清.md,1,0,0,1,0,2,weak,medium,False,full
250,7002988353_袁相亭和刘方权_2019_交大法学_监察与司法的管辖衔接机制研究.md,2,2,2,2,2,10,strong,high,False,light
251,7002988354_蒋成旭_2019_交大法学_论行政诉讼中的“被告致原告无法举证”——以第91号指导性案例为中心.md,2,2,2,2,2,10,strong,high,False,light
252,7002988355_任宛立_2019_交大法学_欧洲增值税法中抵扣的“经营目的审查”及其借鉴.md,1,1,1,2,1,6,medium,medium,False,full
253,7002988356_何天文_2019_交大法学_保护规范理论的引入与问题——基于最高法院裁判的观察.md,2,2,2,2,2,10,strong,high,False,full
254,7002988357_黄海_2019_交大法学_由 迁 至 迁刑 --秦 迁 入刑考.md,2,2,2,2,2,10,strong,high,False,light
255,7002988358_李瑞杰_2019_交大法学_犯罪参与理论的讨论范式及其转换.md,2,2,1,2,2,9,strong,medium,False,full
256,7002988359_张开骏_2019_交大法学_论正当防卫中不法侵害现实性和紧迫性之判断——于海明案刑法教义学的分析.md,2,2,2,2,2,10,strong,high,False,light
257,7100887829_成凡_2020_交大法学_法律认知和法律原则 情感、效率与公平.md,2,2,2,2,2,10,strong,high,False,skip
258,7100887830_桑本谦_2020_交大法学_从要件识别到变量评估 刑事司法如何破解“定性难题”.md,2,2,1,2,2,9,strong,medium,False,full
259,7100887831_郭春镇和黄思晗_2020_交大法学_死刑观的认知基础.md,2,1,1,2,1,7,medium,medium,False,full
260,7100887832_范良聪和许彬_2020_交大法学_集体行动中赏罚效果的差异性研究 来自公共品实验的证据.md,0,0,0,0,0,0,absent,high,False,skip
261,7100887833_王俐智和孙学致_2020_交大法学_论违约方解除合同的条件——兼评《民法典各分编(草案)·合同编》第353条第3款.md,2,2,2,2,2,10,strong,high,False,skip
262,7100887834_黄泷一_2020_交大法学_“物权法定原则”的理论反思与制度完善.md,2,2,2,2,2,10,strong,high,False,full
263,7100887835_陈克_2020_交大法学_论不完全合同视角下的公司融资.md,2,2,1,2,2,9,strong,high,False,light
264,7100887836_宾凯_2020_交大法学_政治系统与法律系统对于技术风险的决策观察.md,0,0,0,0,0,0,absent,medium,False,full
265,7100887837_李琴_2020_交大法学_论法国宪法委员会对《环境宪章》的进阶应用——兼论宪法环境权的可诉性.md,0,0,0,0,0,0,absent,high,False,light
266,7100887838_孙跃_2020_交大法学_指导性案例跨类型适用的限度与进路.md,2,2,2,2,2,10,strong,high,False,skip
267,7100887839_张华_2020_交大法学_司法更需要何种指导性案例——以指导案例60号为分析对象.md,2,2,1,2,1,8,strong,high,False,full
268,7101331760_吴奇琦_2020_交大法学_法律行为三元素(要素、常素、偶素)理论的诞生发展史.md,0,0,0,0,0,0,absent,medium,False,full
269,7101331761_韩光明_2020_交大法学_法典编纂与私法发展 罗马法经验观照.md,1,0,0,1,0,2,weak,medium,False,full
270,7101331762_汪倪杰_2020_交大法学_我国《民法典(草案)》中附随义务体系之重构——以中、德附随义务学说溯源为视角.md,2,2,2,2,2,10,strong,high,False,skip
271,7101331763_刘骏_2020_交大法学_再论意定代理权授予之无因性.md,2,2,2,2,2,10,strong,high,False,full
272,7101331764_何颖_2020_交大法学_行为金融信息中介的网贷平台信息披露规则.md,2,2,1,2,2,9,strong,high,False,light
273,7101331765_熊文聪_2020_交大法学_词与物 地名的不可商标性反思.md,2,2,1,2,1,8,strong,high,False,full
274,7101331766_邓辉_2020_交大法学_我国个人信息保护行政监管的立法选择.md,2,2,1,2,1,8,strong,medium,False,full
275,7101331767_熊晓彪_2020_交大法学_“发生优势” 一种新证明力观——狭义证明力的概率认知与评价进路.md,1,0,0,1,0,2,weak,medium,False,full
276,7101331768_茆巍_2020_交大法学_论清代命案检验之终结及借鉴.md,2,2,2,2,2,10,strong,high,False,skip
277,7101331769_章剑生_2020_交大法学_面向司法审查的行政行为说明理由——郴州饭垄堆矿业有限公司与国土资源部等国土资源行政复议决定再审案评析.md,2,2,1,2,1,8,strong,medium,False,full
278,7102246021_丁轶_2020_交大法学_国家认同的宪法构建 实现机制与实施路径.md,2,2,2,2,2,10,strong,high,False,light
279,7102246022_孙成_2020_交大法学_论宪法在港澳实施的异同及原因——以全国人大及其常委会55份规范性文件为样本.md,2,2,2,2,2,10,strong,high,False,full
280,7102246023_杜吾青_2020_交大法学_国家象征和标志的宪法学阐释 以国家认同为中心.md,2,2,2,2,2,10,strong,high,False,skip
281,7102246024_唐丰鹤_2020_交大法学_司法决策过程中的情感效应.md,0,0,0,0,0,0,absent,high,False,full
282,7102246025_白阳_2020_交大法学_优礼与管控之间 清代错案责任“双轨制”之形成及其原因探析.md,2,2,2,2,2,10,strong,high,False,full
283,7102246026_吴桂德_2020_交大法学_德国法上人类体外胚胎的法律保护及其借鉴.md,1,1,0,2,1,5,medium,medium,False,full
284,7102246027_杨浦_2020_交大法学_论合同相对性原则的适用边界.md,2,2,2,2,2,10,strong,high,False,light
285,7102246029_李有和程金华_2020_交大法学_行政、司法与金融规制冲突——对金融借款利率上限的实证研究.md,2,2,2,2,2,10,strong,high,False,skip
286,7102246030_靳匡宇_2020_交大法学_生态修复量刑情节的司法适用研究——以187份长江环境资源刑事裁判文书为样本.md,2,2,2,2,2,10,strong,high,False,light
287,7102246031_李崇涛_2020_交大法学_论二审检察院能否新增抗诉请求及其合理控制.md,2,2,2,2,2,10,strong,high,False,skip
288,7102246032_徐伟_2020_交大法学_网络侵权中合格通知和必要措施的认定——指导案例83号评析.md,2,2,1,2,1,8,strong,medium,False,full
289,7102973469_崔国斌_2020_交大法学_商业秘密侵权诉讼的举证责任分配.md,2,2,1,2,2,9,strong,medium,False,full
290,7102973470_李治安和刘静雯_2020_交大法学_由普通法观点论对商业秘密和机密信息的保护.md,2,1,1,2,2,8,strong,high,False,full
291,7102973471_谢晴川和何天翔_2020_交大法学_论著作权法对“创作者特权”的确认与限制——以“鬼吹灯”案中的作者续写权利主张为切入点.md,2,2,2,2,2,10,strong,high,False,full
292,7102973472_刘孔中_2020_交大法学_知识产权与司法相关的近期热点问题综述——来自我国台湾地区的观察与省思.md,2,2,1,2,2,9,strong,high,False,full
293,7102973473_林彦_2020_交大法学_信用惩戒制度对行政法治秩序的结构性影响.md,2,2,2,2,2,10,strong,high,False,light
294,7102973474_韩宁_2020_交大法学_政府合同管理的基本逻辑.md,2,2,2,2,2,10,strong,high,False,full
295,7102973475_马立群_2020_交大法学_行政诉讼反诉制度的诉讼构造及创设路径.md,2,2,2,2,2,10,strong,high,False,light
296,7102973476_谢焱_2020_交大法学_商业秘密刑事条款与新《反不正当竞争法》的衔接.md,2,2,1,2,1,8,strong,medium,False,full
297,7102973477_赵艳红_2020_交大法学_大数据监控措施的法律规制研究——以隐私权为中心的探讨.md,2,1,1,2,2,8,strong,high,False,full
298,7102973478_谢进杰和黄蔚菁_2020_交大法学_刑事案件当庭宣判的变迁.md,2,2,1,2,2,9,strong,medium,False,full
299,7102973479_曹阳_2020_交大法学_税收核定与反避税的界分与归位——以《税收征管法》第35条第1款第6项为研究中心.md,2,2,2,2,2,10,strong,high,False,skip
300,7102973480_倪蕴帷_2020_交大法学_排放权交易的正当性思辨——基于欧美实证经验分析.md,1,0,0,2,1,4,weak,medium,False,full
301,7102973481_何天文_2020_交大法学_保护规范理论的引入抑或误用——刘广明诉张家港市人民政府行政复议案再检讨.md,2,2,2,2,2,10,strong,high,False,full
302,JDFX2021001001_裴桦_2021_交大法学_《民法典》夫妻债务条款的不足与应对.md,2,2,2,2,2,10,strong,high,False,skip
303,JDFX2021001002_李洪祥和曹思雨_2021_交大法学_夫妻共同债务规则的法理逻辑.md,2,2,1,2,2,9,strong,medium,False,full
304,JDFX2021001003_李贝_2021_交大法学_《民法典》夫妻债务认定规则中的 合意型共债 ——兼论《民法典》第1064条的体系解读.md,2,2,1,2,2,9,strong,medium,False,full
305,JDFX2021001004_许瑞超_2021_交大法学_基本权利第三人效力的范畴与本质.md,0,0,0,0,1,1,absent,medium,False,full
306,JDFX2021001005_刘磊_2021_交大法学_维稳压力对基层法院组织形态的形塑.md,2,2,2,2,2,10,strong,high,False,skip
307,JDFX2021001006_王瑞超_2021_交大法学_民国上海女律师的执业困境与自我成就.md,2,2,1,2,1,8,strong,high,False,full
308,JDFX2021001007_白云锋_2021_交大法学_保护规范理论反思与本土化修正.md,2,2,2,2,2,10,strong,high,False,skip
309,JDFX2021001008_薛小蕙_2021_交大法学_法律-文件共治模式的生成逻辑与规范路径——基于四十年教育规范性文件的考察.md,2,2,2,2,2,10,strong,high,False,skip
310,JDFX2021001009_沙卫鹏_2021_交大法学_监督行政对权利的影响——以《行政诉讼法》第1条为基础的解释学展开.md,2,2,2,2,2,10,strong,high,False,full
311,JDFX2021001010_滕佳一_2021_交大法学_承包地利用的守成与突破——以土地经营权法律定位的检讨为中心.md,2,2,2,2,2,10,strong,high,False,skip
312,JDFX2021001011_周铭川_2021_交大法学_论刑法拟制的本质、正当性及应有类型.md,2,2,2,2,2,10,strong,high,False,skip
313,JDFX2021001012_莉娜·坎等_2021_交大法学_信息信义义务理论之批判.md,0,0,0,0,0,0,absent,high,False,light
314,JDFX2021001013_陈洪杰_2021_交大法学_司法决策中的 父爱主义 管制逻辑.md,2,2,2,2,2,10,strong,high,False,skip
315,JDFX2021002001_崔志伟_2021_交大法学_卡迪 模式与刑事公正司法的实现.md,2,2,2,2,2,10,strong,high,False,skip
316,JDFX2021002002_米夏埃尔·帕夫利克和陈璇_2021_交大法学_刑法科学的理论.md,0,0,0,0,1,1,absent,high,False,skip
317,JDFX2021002003_赵炜佳_2021_交大法学_论枫桥经验的犯罪合作治理意蕴.md,2,2,2,2,2,10,strong,high,False,full
318,JDFX2021002004_松宫孝明和赵新新_2021_交大法学_构成要件和犯罪体系.md,1,0,0,0,1,2,weak,medium,False,full
319,JDFX2021002005_刘岩_2021_交大法学_系统论视野中法律与大众媒体的关系.md,2,2,0,2,1,7,medium,medium,False,full
320,JDFX2021002006_张海涛_2021_交大法学_功能分化社会的 去分化 ——权力生产性与权力媒介性的理论冲突及其消解.md,0,0,0,0,0,0,absent,high,False,skip
321,JDFX2021002007_谢遥_2021_交大法学_法律地理学论纲.md,1,0,1,2,1,5,medium,medium,False,full
322,JDFX2021002008_王剑_2021_交大法学_融资租赁物范畴厘定及其规制进路的体系化重思.md,2,2,1,2,2,9,strong,medium,False,full
323,JDFX2021002009_崔泽森_2021_交大法学_论诉讼信托和讨债信托的效力——探讨《信托法》第11条第4项.md,2,2,1,2,1,8,strong,medium,False,full
324,JDFX2021002010_曾凤辰_2021_交大法学_反不正当竞争法与知识产权法关系的司法政策的教义学展开.md,2,2,2,2,2,10,strong,high,False,skip
325,JDFX2021002011_徐冉_2021_交大法学_律师辩护全覆盖 背景下限制自行辩护权问题研究——欧洲人权法院的实践及启示.md,2,0,0,2,1,5,medium,medium,False,full
326,JDFX2021002012_罗智敏_2021_交大法学_算法歧视的司法审查——意大利户户送有限责任公司算法歧视案评析.md,0,0,0,1,1,2,weak,high,False,full
327,JDFX2021002013_章程_2021_交大法学_也是西风渐东土——《民法研究指引》的指引.md,2,1,1,2,1,7,medium,medium,False,full
328,JDFX2021003001_谢晓尧_2021_交大法学_法律文本组织技术的方法危机——反思 互联网专条.md,2,2,1,2,1,8,strong,medium,False,full
329,JDFX2021003002_刘维_2021_交大法学_论网络不正当竞争一般条款的价值取向.md,2,2,2,2,2,10,strong,high,False,full
330,JDFX2021003003_陶钧和韩乔亚_2021_交大法学_试论 恶意不兼容 条款的司法适用及规制路径.md,2,2,1,2,2,9,strong,high,False,skip
331,JDFX2021003004_高一飞_2021_交大法学_时间的 形而下 之维 论现代法律中的时间要素.md,0,0,0,0,0,0,absent,high,False,full
332,JDFX2021003005_韩新远_2021_交大法学_个人行为轨迹信息的法律属性与分类保护研究.md,2,2,1,2,1,8,strong,high,False,full
333,JDFX2021003006_孟烨_2021_交大法学_幕友与明清州县裁判——从 副状 文书出发.md,2,2,2,2,2,10,strong,high,False,skip
334,JDFX2021003007_王亚敏_2021_交大法学_近代中国侵权行为用语考略.md,2,2,1,2,1,8,strong,medium,False,full
335,JDFX2021003008_田伟_2021_交大法学_从国家教会法走向宗教宪法——德国宗教治理的百年变迁.md,0,0,0,0,0,0,absent,high,False,skip
336,JDFX2021003009_万立_2021_交大法学_同侪审判 词义考——以《大宪章》第39条为中心的文本考察.md,0,0,0,0,0,0,absent,high,False,skip
337,JDFX2021003010_郑琳_2021_交大法学_逻辑与进路 行政审批下放制度如何实现地方的有效治理与法治化.md,2,2,2,2,2,10,strong,high,False,skip
338,JDFX2021003011_杨凯旋_2021_交大法学_注册体制下商标使用意图要件检视.md,2,2,2,2,2,10,strong,high,False,skip
339,JDFX2021003012_刘媛媛_2021_交大法学_论环境侵权责任中的恢复原状费用.md,2,2,2,2,2,10,strong,high,False,skip
340,JDFX2021003013_张航_2021_交大法学_再审改判无罪 赔偿条款的立法局限与解释方案.md,2,2,1,2,2,9,strong,high,False,skip
341,JDFX2021004001_叶卫平_2021_交大法学_财政补贴、产业促进与公平竞争审查.md,2,2,2,2,2,10,strong,high,False,skip
342,JDFX2021004002_王健_2021_交大法学_论我国反垄断罚款的结构化改革——从一元构造体系走向二元构造体系.md,2,2,1,2,2,9,strong,high,False,full
343,JDFX2021004003_兰磊_2021_交大法学_涨价型竞争损害的误读与澄清——以转售价格维持为视角.md,2,2,1,2,2,9,strong,high,False,light
344,JDFX2021004004_李剑_2021_交大法学_经营者集中强制申报制度的实效与转变.md,2,2,1,2,2,9,strong,high,False,full
345,JDFX2021004005_余厚宏_2021_交大法学_人类胚胎基因编辑中的权利冲突解析.md,1,1,0,1,1,4,weak,high,False,light
346,JDFX2021004006_杨立民_2021_交大法学_论数字在中国古代法律制度中的意涵与功能及其现代启示.md,2,2,2,2,2,10,strong,high,False,full
347,JDFX2021004007_耿宝建和殷勤_2021_交大法学_公益性国有土地使用权收回的法律性质与补偿模式.md,2,2,2,2,2,10,strong,high,False,skip
348,JDFX2021004008_杨杰_2021_交大法学_论行政信用评级的属性及其法律控制——基于行政过程论视角的分析.md,2,2,2,2,2,10,strong,high,False,skip
349,JDFX2021004009_李尧_2021_交大法学_撤回行政许可的乱象及法律规制——基于121份裁判文书的实证考察.md,2,2,1,2,2,9,strong,high,False,light
350,JDFX2021004010_徐彦冰_2021_交大法学_游戏地图作品属性的中国法实践.md,2,2,1,2,2,9,strong,high,False,light
351,JDFX2021004011_宋灵珊_2021_交大法学_性别与法律 刑事司法中的女检察官.md,2,2,1,2,1,8,strong,high,False,full
352,JDFX2021004012_宋春龙_2021_交大法学_限制高消费的制度嬗变与法理辨析.md,2,2,2,2,2,10,strong,high,False,skip
353,JDFX2021004013_周晨和林喜_2021_交大法学_刑法第88条的溯及力问题和法定要件判断——以马某、庄某抢劫案为例.md,2,2,2,2,2,10,strong,high,False,skip
354,JDFX2022001002_崔建远_2022_交大法学_合同成立探微.md,2,2,1,2,2,9,strong,medium,False,full
355,JDFX2022001003_武腾_2022_交大法学_无权处分场合买卖合同的效力与权利瑕疵担保.md,2,2,2,2,2,10,strong,high,False,light
356,JDFX2022001004_孙维飞_2022_交大法学_《民法典》第584条(违约损害赔偿范围)评注.md,2,2,1,2,2,9,strong,high,False,skip
357,JDFX2022001005_叶会成_2022_交大法学_为服务性权威观辩护 三个批评及其回应.md,0,0,0,0,0,0,absent,high,False,skip
358,JDFX2022001006_宋菲_2022_交大法学_应急时期司法政策的现实运用及风险规控.md,2,2,2,2,2,10,strong,high,False,skip
359,JDFX2022001007_王明喆_2022_交大法学_行政处罚种类扩张论批判.md,2,2,2,2,2,10,strong,high,False,light
360,JDFX2022001008_樊纪伟_2022_交大法学_我国公司法定类型的反思及逻辑建构.md,2,2,1,2,2,9,strong,medium,False,full
361,JDFX2022001009_王传辉_2022_交大法学_知识产权法 利益平衡说 之反思 自然法与功利主义之比较.md,0,0,0,0,0,0,absent,medium,False,full
362,JDFX2022001010_高欧和郭松_2022_交大法学_审判权与审判管理权、审判监督权的关系重塑.md,2,2,2,2,2,10,strong,high,False,skip
363,JDFX2022001011_吴桐_2022_交大法学_诱惑侦查合法性的阶段化认定 日本经验与中国路径.md,2,2,1,2,2,9,strong,medium,False,full
364,JDFX2022001012_赵宏_2022_交大法学_保护规范理论的展开与问题——联立公司诉北京市东城区人民政府行政复议案评析.md,2,2,1,2,2,9,strong,medium,False,full
365,JDFX2022002003_胡凌_2022_交大法学_互联网的开放与封闭及其法律回应.md,2,2,1,2,2,9,strong,medium,False,full
366,JDFX2022002004_唐林垚_2022_交大法学_公共治理视域下自动化应用的法律规制.md,2,1,0,2,2,7,medium,medium,False,full
367,JDFX2022002005_赵精武_2022_交大法学_从保密到安全 数据销毁义务的理论逻辑与制度建构.md,2,2,2,2,2,10,strong,high,False,skip
368,JDFX2022002006_秦小建和朱俊亭_2022_交大法学_宪法社会公德条款的规范阐释.md,2,2,2,2,2,10,strong,high,False,skip
369,JDFX2022002007_何雪锋_2022_交大法学_基于经验法则的法律论证.md,2,2,1,2,1,8,strong,high,False,light
370,JDFX2022002008_马荣春_2022_交大法学_犯罪着手的教义学重述 学说对决、命题重证与具体解答.md,2,2,0,2,1,7,medium,low,True,full
371,JDFX2022002009_张青波_2022_交大法学_行政组织法视角下环境标准制度的反思与完善.md,2,2,1,2,1,8,strong,medium,False,full
372,JDFX2022002010_赵大伟_2022_交大法学_共同财产制下夫妻个人债务执行程序的规则建构.md,2,2,2,2,2,10,strong,high,False,skip
373,JDFX2022002011_张阳_2022_交大法学_商事主体终止的制度检视及其结构优化.md,2,2,1,2,2,9,strong,high,False,light
374,JDFX2022002012_方芳_2022_交大法学_保护作品完整权的侵权判断标准.md,2,2,1,2,2,9,strong,medium,False,full
375,JDFX2022002013_张静_2022_交大法学_论处分查封之物的法律效力.md,2,2,2,2,2,10,strong,high,False,light
376,JDFX2022002014_李泠烨_2022_交大法学_原告资格判定中 保护规范说 和 实际影响说 的混用与厘清——兼评东联电线厂案再审判决.md,2,2,2,2,2,10,strong,high,False,skip
377,JDFX2022003001_曹志勋_2022_交大法学_德国诉讼标的诉讼法说的传承与发展.md,0,0,0,1,1,2,weak,high,False,full
378,JDFX2022003002_马丁_2022_交大法学_遗产管理人的地位与功能阐释——实体与程序规制互济的视角.md,2,2,2,2,2,10,strong,high,False,skip
379,JDFX2022003003_袁琳_2022_交大法学_实体与程序双重视角下的连带债务涉他效力.md,2,2,1,2,1,8,strong,high,False,full
380,JDFX2022003004_高旭_2022_交大法学_证明责任视角下《民法典》第235条的要件解释和学理澄清.md,2,2,1,2,2,9,strong,high,False,light
381,JDFX2022003005_刘涛_2022_交大法学_法律如何构建时间 ——系统理论脉络下的展开.md,0,0,0,0,0,0,absent,high,False,light
382,JDFX2022003006_周欢_2022_交大法学_不准派买 与 勒限采买 ——清代粮食采购法的表与里(1644—1850).md,2,2,1,2,1,8,strong,high,False,skip
383,JDFX2022003007_魏东_2022_交大法学_常识主义刑法观的指引功能.md,2,2,2,2,2,10,strong,high,False,light
384,JDFX2022003008_陈曦笛_2022_交大法学_海平面上升对海上地物国际法地位的影响 规则演进与中国因应.md,1,1,1,2,2,7,medium,high,False,full
385,JDFX2022003009_胡滨斌_2022_交大法学_言语行为理论视角下的保密协议.md,1,1,0,1,1,4,weak,medium,False,full
386,JDFX2022003010_陈亮和徐明_2022_交大法学_从数据到知识 智能司法基础设施的困境反思.md,2,2,1,2,2,9,strong,medium,False,full
387,JDFX2022003011_李文博和宋晓亭_2022_交大法学_论老字号商标的权益归属 二分构造与制度设计.md,2,2,2,2,2,10,strong,high,False,skip
388,JDFX2022004001_黄文艺_2022_交大法学_习近平法治思想原创性贡献论纲.md,2,2,2,2,2,10,strong,high,False,skip
389,JDFX2022004002_汪仲启_2022_交大法学_论中国特色社会主义法治道路的实践形态.md,2,2,2,2,2,10,strong,high,False,skip
390,JDFX2022004003_樊士博和齐卫平_2022_交大法学_新时代中国共产党执政话语研究论纲.md,0,0,0,0,0,0,absent,medium,False,full
391,JDFX2022004004_黄心瑜_2022_交大法学_难以触及的真相 一起清代知县隐匿灾情弹劾案的分析.md,2,2,1,2,2,9,strong,high,False,skip
392,JDFX2022004005_侯晓燕_2022_交大法学_指导性案例适用失范的现状、成因及其出路——以指导性案例24号的参照情况为分析视角.md,2,2,2,2,2,10,strong,high,False,full
393,JDFX2022004006_敖海静_2022_交大法学_美国法律解释方法再研究——以意图主义与新文本主义之争为中心.md,0,0,0,0,0,0,absent,high,False,skip
394,JDFX2022004007_陈银珠_2022_交大法学_论我国刚性最低刑制度的柔性化路径.md,2,2,2,2,2,10,strong,high,False,light
