编号,期刊,年份,卷,期,题目,作者,作者机构,页数,主题词,分类-Q,分类-G,分类-D,分类-K,分类,duplicate_group,canonical_pid,analysis_included
369,中国法学,2019,,1,我国《证券法》上证券概念的扩大及其边界,邢会强[1],[1]不详,20,证券;金融商品;金融投资商品;投资合同;豪威测试,民商法学,民商法学,民商法学,民商法学,民商法学,,369,yes
370,中国法学,2025,000,1,我国专利制度现代化的自主逻辑体系建构,马一德[1],[1]中国科学院大学知识产权学院,19,专利制度现代化;市场机制;新型举国体制;开放式创新,知识产权法学,民商法学,知识产权法学,知识产权法学,知识产权法学,,370,yes
371,中国法学,2018,,5,我国个人敏感信息界定之构想,胡文涛,上海海事大学法学院,20,个人敏感信息;个人信息安全规范;个人信息保护,数字法学,民商法学,民商法学,民商法学,民商法学,,371,yes
372,中国法学,2020,,5,我国保险法因果关系判断路径与规则,初北平[1],[1]大连海事大学保险法研究中心,21,因果关系;实质作用原因;比例因果关系;复合原因;合同解释,刑法学,刑法学,刑法学,刑法学,刑法学,,372,yes
373,中国法学,2020,,5,我国公共卫生法治的理论坐标与制度构建,李广德[1],[1]中国社会科学院法学研究所,19,公共卫生法;公共卫生法理;公共卫生法治;健康权利保障,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,,373,yes
374,中国法学,2016,,5,我国养老基金投资的审慎投资人规则,张春丽,中国政法大学民商经济法学院,21,养老基金;投资风险;审慎投资人规则,经济法学,经济法学,经济法学,经济法学,经济法学,,374,yes
375,中国法学,2025,000,2,我国农村集体养老的法律制度供给,李蕊[1],[1]中国政法大学民商经济法学院,20,农村养老;农村集体养老;集体所有权;农村集体经济组织,民商法学,民商法学,民商法学,民商法学,民商法学,,375,yes
376,中国法学,2021,,5,我国刑事缺席审判程序中的异议权,邵劭[1],[1]杭州师范大学沈钧儒法学院,22,刑事缺席审判;异议权;重新审理;救济,刑法学,刑法学,刑法学,刑法学,刑法学,,376,yes
377,中国法学,2016,0,6,我国刑事证据推理模式的转型：从日常思维到精密论证,封利强,浙江工商大学法学院,24,司法证明;证据推理;威格莫尔分析法;图尔敏模型,刑法学,刑法学,刑法学,刑法学,刑法学,,377,yes
378,中国法学,2022,000,2,我国刑法制裁体系的反思与完善,彭文华[1],[1]上海政法学院,20,刑法制裁体系;刑法制裁方法;刑法制裁制度;分配正义,刑法学,刑法学,刑法学,刑法学,刑法学,,378,yes
379,中国法学,2017,,5,我国刑法的新发展,"郎胜[1,2]",[1]全国人大常委会 [2]全国人大法律委员会,24,1997年刑法 刑法修正案 刑法立法 刑法谦抑性,刑法学,刑法学,刑法学,刑法学,刑法学,,379,yes
380,中国法学,2016,,4,我国受贿罪量刑地区差异问题实证研究,王剑波,首都经济贸易大学法学院,21,受贿罪;量刑差异;实证研究,刑法学,刑法学,刑法学,刑法学,刑法学,,380,yes
381,中国法学,2021,,4,我国成文法体制下不同属性判例的功能定位,顾培东[1],[1]四川大学法学院,20,判例运用;指导性案例;示范性案例;一般性判例,法学理论,法学理论,法学理论,法学理论,法学理论,,381,yes
382,中国法学,2021,0,6,我国政府架构下的权力配置模式及其定型化,门中敬[1],[1]山东大学法学院(威海),22,"国家权力配置;党的领导;责任政治;""统分结合""模式;定型化",宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,382,yes
383,中国法学,2025,000,2,我国权责清单制度质效研究,刘启川[1],[1]东南大学法学院,20,权责清单;权力清单;责任清单;制度效用;提质增效,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,383,yes
384,中国法学,2018,,1,我国民事司法多元化改革的现状与未来,周翠,浙江大学光华法学院,24,司法多元化;民事司法;审限;在线调解;大数据,数字法学,诉讼法学,诉讼法学,民商法学,诉讼法学,,384,yes
385,中国法学,2015,0,2,我国民事庭审阶段化构造再认识,段文波[1],[1]西南政法大学,27,庭审结构;辩论主义;口头辩论;证据调查,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,385,yes
386,中国法学,2015,0,2,我国民事案件开庭审理程序与方式之检讨与重塑,章武生[1],[1]复旦大学法学院,15,开庭审理;法庭辩论;争点确定;疑点排除,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,386,yes
387,中国法学,2019,,4,我国民事管辖审查程序的反思与修正,段文波[1],[1]西南政法大学,21,复式混合审查;管辖权异议;应诉管辖;口头辩论;程序保障,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,387,yes
388,中国法学,2019,,4,我国民法典中的成年人自主监护:理念与规则,费安玲[1],[1]中国政法大学比较法研究院,22,成年人自主监护;意定监护;监护规则,民商法学,民商法学,民商法学,民商法学,民商法学,,388,yes
389,中国法学,2024,000,1,我国海洋法权的宪法规范构建,杨华[1],[1]上海政法学院,19,海洋法权;宪法规范;海洋法治;海洋强国战略,国际法学,国际法学,国际法学,国际法学,国际法学,,389,yes
390,中国法学,2017,,3,我国环境公益诉讼制度的建构问题与解决对策,罗丽,北京理工大学法学院,23,环境民事公益诉讼;环境行政公益诉讼;刑事附带民事诉讼,刑法学,刑法学,刑法学,刑法学,刑法学,,390,yes
391,中国法学,2018,,4,我国电子商务法调整的社会关系范围,刘颖,暨南大学法学院,22,电子商务立法;《电子商务法（草案）》;调整对象;社会关系,民商法学,民商法学,民商法学,民商法学,民商法学,,391,yes
392,中国法学,2017,0,4,我国监察体制改革若干问题思考,"陈光中[1,2];邵俊[1,3]",[1]国家2011计划司法文明协同创新中心;[2]中国政法大学诉讼法学研究院;[3]中国政法大学刑事司法学院,14,监察体制改革;国家治理现代化;监察权;司法权,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,392,yes
393,中国法学,2023,000,6,我国立法权的内在构成及其配置原理的完善,杨登峰[1],[1]东南大学法学院,20,地方先行立法;立法权配置;权力层级配给制;事务性质配给制,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,393,yes
394,中国法学,2015,0,6,我国第三人撤销之诉的实践运行研究,郑金玉,河南大学法学院,19,第三人撤销之诉;构成要件;虚假诉讼;原告适格,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,394,yes
395,中国法学,2020,,4,我国继承制度的完善与规则适用,"杨立新[1,2]","[1]中国人民大学法学院,中国人民大学民商事法律科学研究中心;[2]中国法学会民法典编纂项目领导小组",21,民法典继承编;继承规则;遗嘱;遗产管理人,民商法学,民商法学,民商法学,民商法学,民商法学,,395,yes
396,中国法学,2024,000,2,我国继承法自主知识体系的守正与创新,马新彦[1],[1]吉林大学法学院,21,法学自主知识体系;守正创新;限定继承;代际传承性遗产,民商法学,民商法学,民商法学,民商法学,民商法学,,396,yes
397,中国法学,2015,0,1,我国网络信息的政府治理机制研究,尹建国[1],[1]华中科技大学法学院,18,网络信息;政府治理;网络法治,数字法学,宪法学与行政法学,宪法学与行政法学,民商法学,宪法学与行政法学,,397,yes
398,中国法学,2018,,3,我国网络法治的经验与启示,徐汉明,中南财经政法大学法治发展与司法改革研究中心,20,网络治理;网络强国;数字经济;智慧社会,数字法学,经济法学,经济法学,经济法学,经济法学,,398,yes
399,中国法学,2021,,4,我国行政法法典编纂的程序主义进路选择,王万华[1],[1]中国政法大学诉讼法学研究院,20,行政法法典;法典编纂;程序主义进路;行政活动,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,399,yes
400,中国法学,2023,000,2,我国行政给付义务类型化及其法律拘束,胡敏洁[1],[1]浙江大学光华法学院,19,行政给付义务;类型化;公私法;法律拘束,民商法学,民商法学,民商法学,民商法学,民商法学,,400,yes
401,中国法学,2023,000,3,我国证券集体诉讼的制度创制与初步实践研究,焦津洪[1],[1]中国证监会,21,证券集体诉讼;境外证券集团诉讼;康美药业案,民商法学,民商法学,民商法学,民商法学,民商法学,,401,yes
402,中国法学,2017,,2,我国证券集团诉讼的模式选择与制度重构,章武生,复旦大学法学院,27,集团诉讼;证券集团诉讼;加入制;退出制,民商法学,民商法学,民商法学,民商法学,民商法学,,402,yes
403,中国法学,2024,000,6,我国轻罪案件的程序实践检讨,张栋[1],[1]华东政法大学刑事法学院,19,轻罪案件;程序出罪;以证据为中心的刑事指控体系;检察官裁判,刑法学,刑法学,刑法学,刑法学,刑法学,,403,yes
404,中国法学,2023,000,5,我国逮捕与羁押制度改革若干问题探讨,"陈光中[1];路旸[2,3]",[1]中国政法大学;[2]中国政法大学诉讼法学研究院;[3]中国政法大学检察基础理论研究基地,22,逮捕;羁押;社会危险性;电子监控;风险量化评估,刑法学,刑法学,刑法学,刑法学,刑法学,,404,yes
405,中国法学,2019,,5,我国逮捕制度改革检讨,刘计划[1],[1]中国人民大学刑事法律科学研究中心,21,逮捕制度;逮捕条件;逮捕审查程序;羁押必要性,刑法学,刑法学,刑法学,刑法学,刑法学,,405,yes
406,中国法学,2023,000,4,我国金融机构股东加重责任的扩张与规范,赖虹宇[1],[1]西南财经大学法学院,20,股东加重责任;金融控股公司;金融稳定法;公司法,民商法学,民商法学,民商法学,民商法学,民商法学,,406,yes
407,中国法学,2020,,5,我国飞跃上诉的制度构建:兼论有限三审制的改革路径,方斯远[1],[1]暨南大学法学院/知识产权学院,21,飞跃上诉;审级制度;许可上诉;有限三审制,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,407,yes
408,中国法学,2015,0,3,我国食品安全责任强制保险的法律构造研究,于海纯[1],[1]对外经济贸易大学法学院,21,食品安全责任强制保险;食品安全治理;信用增进;风险分担,民商法学,民商法学,民商法学,民商法学,民商法学,,408,yes
409,中国法学,2023,000,5,执行价款分配模式转型之辨,陈杭平[1],[1]清华大学法学院,20,执行价款分配;平等主义;优先主义;群团优先主义,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,409,yes
410,中国法学,2020,,1,执行时效期间的再改革,"霍海红[1,2]",[1]浙江大学光华法学院;[2]国家“2011计划”司法文明协同创新中心,19,执行时效;诉讼时效;终本程序;执行难,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,410,yes
411,中国法学,2018,,4,承包地三权分置的法律表达,"高圣平[1,2]",[1]中国人民大学民商事法律科学研究中心;[2]中国人民大学法学院,21,“三权”分置;土地承包经营权;土地承包权;土地经营权,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,,411,yes
412,中国法学,2023,000,3,投资者保护基金先行赔付制度的反思与重构,袁康[1],[1]武汉大学法学院,22,证券民事赔偿;先行赔付;投资者保护基金;公共补偿,民商法学,民商法学,民商法学,民商法学,民商法学,,412,yes
413,中国法学,2017,,6,抢劫罪与敲诈勒索罪之界分：基于被害人的处分自由,车浩,北京大学法学院,21,抢劫罪 敲诈勒索罪 两个当场 处分自由 被害人教义学,法学理论,法学理论,法学理论,法学理论,法学理论,,413,yes
414,中国法学,2016,0,1,担保物权司法解释起草中的重大争议问题,"高圣平[1,2]",[1]中国人民大学民商事法律科学研究中心;[2]中国人民大学法学院,19,越权代表;公司担保;金融担保创新;独立保证;混合共同担保,民商法学,民商法学,民商法学,民商法学,民商法学,,414,yes
415,中国法学,2016,,3,指定居所监视居住实施问题的解释论分析,程雷,中国人民大学刑事法律科学研究中心,18,监视居住;指定居所监视居住;限制自由,法学理论,法学理论,法学理论,法学理论,法学理论,,415,yes
416,中国法学,2015,0,1,指导性案例法源地位再反思,雷磊[1],[1]中国政法大学法理学研究所,19,指导性案例;法源双层构造论;附属的制度性权威;准法源,法学理论,法学理论,法学理论,法学理论,法学理论,,416,yes
417,中国法学,2018,,5,损害救济新旧法适用选择的过渡法规则,刘国乾,云南大学法学院,23,新旧法冲突;过渡法;损害救济;新法即行适用,民商法学,民商法学,民商法学,民商法学,民商法学,,417,yes
418,中国法学,2024,000,4,控制性详细规划的法律定位及控制,李泠烨[1],[1]上海师范大学哲学与法政学院,20,控制性详细规划;“目的—手段”模式;规划权衡;交互一体行政机制;多元行政任务,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,418,yes
419,中国法学,2022,000,6,推进中国式法治现代化 构建人类法治文明新形态——对党的二十大报告的法治要义阐释,黄文艺[1],[1]中国人民大学法学院,22,中国式现代化;中国式法治现代化;中国特色社会主义法治体系;法治中国;人类法治文明新形态,党内法规学,法学理论,法学理论,法学理论,法学理论,,419,yes
420,中国法学,2016,,2,提高民事诉讼证明标准的理论反思,霍海红,吉林大学法学院,22,证明标准;自由心证;高度盖然性;排除合理怀疑,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,420,yes
421,中国法学,2016,,3,政府信息公开的宪法逻辑,秦小建,中南财经政法大学,23,知情权;政府信息公开;主权逻辑;治理逻辑,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,421,yes
422,中国法学,2017,0,4,政府规制中的信用工具研究,王瑞雪,南开大学法学院,16,政府规制;信用工具;公法约束,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,422,yes
423,中国法学,2017,,3,敌意收购的法律立场,傅穹,吉林大学法学院,18,敌意收购;上市公司控制权争夺;反收购条款;章程自治,民商法学,民商法学,民商法学,民商法学,民商法学,,423,yes
424,中国法学,2025,000,2,敏感个人信息保护制度的解释性重构,丁晓东[1],[1]中国人民大学法学院,20,个人信息保护;敏感个人信息;反歧视;场景化;私密信息,数字法学,民商法学,民商法学,民商法学,民商法学,,424,yes
425,中国法学,2024,000,4,教育法法典化的规范选择,管华[1],[1]广西大学法学院,21,教育法典;涉“教育”规范;“行业法”范式;规范选择,法学理论,法学理论,法学理论,法学理论,法学理论,,425,yes
426,中国法学,2024,000,3,数字丝绸之路跨国法律秩序的建构与完善,彭岳[1],[1]南京大学法学院,20,数字丝绸之路;跨国法律秩序;“北京效应”;跨国法律过程;“布鲁塞尔效应”,数字法学,国际法学,国际法学,国际法学,国际法学,,426,yes
427,中国法学,2024,000,3,数字人权原则司法适用的逻辑展开,高一飞[1],[1]浙江工商大学法学院,20,数字人权;法律原则;司法适用,数字法学,宪法学与行政法学,诉讼法学,宪法学与行政法学,诉讼法学,,427,yes
428,中国法学,2024,000,1,数字人身同一认定的技术力量与规制,李学军[1],[1]中国人民大学法学院,21,数字人身同一认定;人脸识别;个人信息保护;隐私权;算法权力,数字法学,民商法学,民商法学,民商法学,民商法学,,428,yes
429,中国法学,2023,000,6,数字化时代国际贸易协定中的文化条款,时业伟[1],[1]北京师范大学法学院,20,数字经济;国际贸易协定;文化多样性;文化条款,数字法学,国际法学,国际法学,经济法学,国际法学,,429,yes
430,中国法学,2021,,3,数字化行政方式的权力正当性检视,展鹏贺[1],[1]湖南大学法学院,25,数字化;行政方式;行政程序;人工智能;正当性,数字法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,430,yes
431,中国法学,2023,000,4,数字时代个人信用权的构造与规制,冉克平[1],[1]武汉大学法学院,20,数字信用;信用权;信用信息;公共信用;损害赔偿,数字法学,民商法学,民商法学,民商法学,民商法学,,431,yes
432,中国法学,2024,000,4,数字时代科学立法的法理研究,金梦[1],[1]华东政法大学法律学院,20,数字时代;科学立法;领域性立法;立法理性;数字化善治,数字法学,法学理论,法学理论,法学理论,法学理论,,432,yes
433,中国法学,2023,000,2,数字时代隐私权的社会理论重构,"余成峰[1,2]",[1]北京航空航天大学法学院;[2]人文与社会科学高等研究院,20,隐私权;个人信息保护;数字时代;社会理论;社会本位,数字法学,民商法学,民商法学,民商法学,民商法学,,433,yes
434,中国法学,2023,000,1,数字法学的前提性命题与核心范式,彭诚信[1],[1]上海交通大学凯原法学院,22,数字法学;数字社会;个人信息;算法识别;核心范式,数字法学,法学理论,数字法学,数字法学,数字法学,,434,yes
435,中国法学,2022,000,3,数字法学的理论表达,马长山[1],[1]华东政法大学,26,新文科;新法科;计算法学;数字法学;数字法治,数字法学,法学理论,数字法学,数字法学,数字法学,,435,yes
436,中国法学,2025,000,1,数字法学范畴体系的分层结构与逻辑展开,"任颖[1,2]",[1]广东外语外贸大学法学院;[2]广东外语外贸大学地方立法基地,20,数字法学;范畴分层;数据安全;信息保护;算法规制,数字法学,宪法学与行政法学,数字法学,数字法学,数字法学,,436,yes
437,中国法学,2022,000,4,数字法学视野下的网络空间治理,何邦武[1],[1]南京航空航天大学人文与社会科学学院,18,数字法学;领域法学;网络空间治理;算法规制;数字权利保护,数字法学,宪法学与行政法学,数字法学,数字法学,数字法学,,437,yes
438,中国法学,2023,000,1,数字经济时代我国数据犯罪刑法规制的挑战与应对,杨志琼[1],[1]东南大学法学院,18,数据犯罪;数据安全法益;访问权限;公开数据;出罪化,数字法学,刑法学,刑法学,经济法学,刑法学,,438,yes
439,中国法学,2024,000,5,数字财产权对传统财产权理论的重构,孙建伟[1],[1]上海市法学会研究部,21,数字货币;数字资产;区块链;数据产权;NFT,数字法学,民商法学,民商法学,民商法学,民商法学,,439,yes
440,中国法学,2023,000,4,数字金融公平价值的实现路径研究,靳文辉[1],[1]重庆大学法学院,18,数字金融;数字技术;金融公平;公平价值,数字法学,经济法学,经济法学,经济法学,经济法学,,440,yes
441,中国法学,2025,000,1,数据产权登记的基本问题研究,孙莹[1],[1]西南政法大学民商法学院,20,数据确权;数据流转;数据登记;数据交付;数据善意取得,数字法学,经济法学,民商法学,民商法学,民商法学,,441,yes
442,中国法学,2021,,2,数据爬取的正当性及其边界,许可[1],[1]对外经济贸易大学法学院,23,数据流通;数据爬取;权衡法则;数据权属;数据再利用,数字法学,民商法学,民商法学,民商法学,民商法学,,442,yes
443,中国法学,2022,000,4,数据科技伦理法律化问题探究,黎四奇[1],[1]湖南大学法学院,21,数据科技;伦理风险;法律;伦理法律化,数字法学,法学理论,法学理论,民商法学,法学理论,,443,yes
444,中国法学,2022,000,4,数据财产的权利架构与规则展开,沈健州[1],[1]清华大学法学院,22,数据财产;权利架构;权利规则;个人信息;数据合理使用,数字法学,民商法学,民商法学,民商法学,民商法学,,444,yes
445,中国法学,2024,000,4,数据资产入表的法律配置,张素华[1],[1]武汉大学法学院,21,数据资产入表;数据确权;数据质量;数据安全;价值评估,数字法学,经济法学,民商法学,民商法学,民商法学,,445,yes
446,中国法学,2022,0,1,数智化社会的法律调控,齐延平[1],[1]北京理工大学法学院,22,数智化社会;架构化;先在规制;法律预嵌;算法化运行,数字法学,法学理论,数字法学,数字法学,数字法学,,446,yes
447,中国法学,2021,,2,整体主义视角下公司法的理念调适与体系重塑,冯果[1],[1]武汉大学法学院,23,公司法;立法体系;整体主义;资本市场,民商法学,民商法学,民商法学,民商法学,民商法学,,447,yes
448,中国法学,2025,000,1,文化法治体系的法理意蕴与实践展开,杨清望[1],[1]中南大学法学院,20,习近平文化思想;习近平法治思想;文化法治体系;文化体制机制改革,法学理论,法学理论,法学理论,法学理论,法学理论,,448,yes
449,中国法学,2024,000,5,文明转型中权利概念的历史场域与理论范式,张恒山[1],[1]天津大学法学院,17,权利;历史场域;理论范式;自由;强制;应得,法学理论,法学理论,法学理论,法学理论,法学理论,,449,yes
450,中国法学,2022,000,3,新一代法律智能系统的逻辑推理和论证说理,刘东亮[1],[1]西安交通大学法学院,20,法律智能系统;逻辑推理;论证说理;人机协同,法学理论,法学理论,法学理论,法学理论,法学理论,,450,yes
451,中国法学,2019,,5,新中国国际法学70年:历程、贡献与发展方向,杨泽伟[1],[1]武汉大学国际法研究所,17,现代国际法;国际法学;“一带一路”倡议;人类命运共同体,国际法学,国际法学,国际法学,国际法学,国际法学,,451,yes
452,中国法学,2020,,2,新出土金文所见西周罚金刑研究,雷安军[1],[1]重庆大学法学院,13,新出土金文;罚金刑;五罚,法律史,法律史,法律史,法律史,法律史,,452,yes
453,中国法学,2024,000,5,新就业形态法律关系认定规则,娄宇[1],[1]中国政法大学民商经济法学院,20,新就业形态;劳动关系认定;从属性;不完全劳动关系;教义学,经济法学,民商法学,经济法学,经济法学,经济法学,,453,yes
454,中国法学,2019,,1,新时代“德法合治”方略的哲理思考,龙大轩[1],[1]西南政法大学,18,法治;德治;德法合治,法学理论,法学理论,法学理论,法学理论,法学理论,,454,yes
455,中国法学,2023,000,1,新时代中国国际法理论的发展,何志鹏[1],[1]吉林大学理论法学研究中心、法学院,22,新时代国际法理论;国际法治;涉外法治;中国特色,国际法学,国际法学,国际法学,国际法学,国际法学,,455,yes
456,中国法学,2018,,3,新时代中国法治现代化的战略安排,公丕祥,南京师范大学法学院,24,法治图式;国家发展战略;法治现代化;战略安排,法学理论,法学理论,法学理论,法学理论,法学理论,,456,yes
457,中国法学,2017,,6,新时代全面依法治国的思想、方略和实践,"张文显[1,2,3]",[1]中国法学会;[2]吉林大学;[3]司法文明协同创新中心,24,法治定力 法治思想 法治方略 法治实践 依法治国 法治中国,法学理论,法学理论,法学理论,法学理论,法学理论,,457,yes
458,中国法学,2018,,5,新时代发展权救济的法理审思,蒋银华,广州大学法学院,21,发展权;法律救济;一体化救济;国家义务,法学理论,法学理论,法学理论,法学理论,法学理论,,458,yes
459,中国法学,2023,000,3,新时代司法改革的逻辑展开与路径思考,丁亮华[1],[1]中南大学法学院,21,司法体制改革;司法管理体制;司法权力运行机制;综合配套改革,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,459,yes
460,中国法学,2024,000,3,新时代国家安全法学论纲,李翔[1],[1]华东政法大学刑事法学院、国家安全研究院,20,总体国家安全观;习近平法治思想;国家安全法治化;国家安全法学,法学理论,法学理论,法学理论,法学理论,法学理论,,460,yes
461,中国法学,2019,,3,新时代坚定不移走中国特色社会主义法治道路,李林[1],[1]中国社会科学院法学研究所,21,党的领导;依法治国;改革开放;法治道路;新时代,党内法规学,法学理论,法学理论,法学理论,法学理论,,461,yes
462,中国法学,2019,,4,新时代政法改革论纲,黄文艺[1],[1]中国人民大学法学院,21,政法改革;司法改革;法治中国;平安中国,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,462,yes
463,中国法学,2019,,6,新时代检察权的定位、特征与发展趋向,苗生明[1],[1]最高人民检察院第一检察厅,17,检察权;法律监督;公共利益;检察审查,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,463,yes
464,中国法学,2024,000,2,新时代能动司法的倡导与回应型司法的构建,顾培东[1],[1]四川大学法学院,20,能动司法;实践面相;回应型司法;回应维度与机制,法学理论,法学理论,法学理论,法学理论,法学理论,,464,yes
465,中国法学,2023,000,1,新科技时代的法学基本范畴：挑战与回应,雷磊[1],[1]中国政法大学法学院,20,新科技时代;人工智能;大数据;法学基本范畴;法理学回应,数字法学,法学理论,法学理论,民商法学,法学理论,,465,yes
466,中国法学,2019,,5,智慧社会背景下的“第四代人权”及其保障,马长山[1],[1]华东政法大学,20,智慧社会;数字人权;第四代人权;法治保障,数字法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,466,yes
467,中国法学,2016,0,6,最高人民检察院司法解释研究,孙谦,最高人民检察院,15,最高人民检察院;司法解释;立法解释,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,467,yes
468,中国法学,2019,,2,有限公司股东清算义务人地位质疑,梁上上[1],[1]清华大学,19,股东;董事;清算;清算义务人;解散,民商法学,民商法学,民商法学,民商法学,民商法学,,468,yes
469,中国法学,2022,000,3,未成年人违警行为的提出与立法辨证,姚建龙[1],[1]上海社会科学院法学研究所,17,预防未成年人犯罪法;未成年人罪错;违警行为;保护主义;先议权,刑法学,刑法学,刑法学,刑法学,刑法学,,469,yes
470,中国法学,2020,,1,机关运行保障的立法逻辑,"湛中乐[1,2]",[1]北京大学法学院;[2]石河子大学法学院,18,《机关事务管理条例》;机关运行保障;《机关运行保障法》,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,470,yes
471,中国法学,2016,,3,机动车自愿责任险排除连带赔偿责任,"邢海宝[1,2]",[1]中国人民大学民商事法律科学研究中心;[2]中国人民大学法学院,17,可保性;自愿保险;连带责任;按份赔付;直接请求权,民商法学,民商法学,民商法学,民商法学,民商法学,,471,yes
472,中国法学,2018,,1,权力挂起：行政组织法的新变式？,熊樟林,东南大学法学院,19,行政权力挂起;行政不作为;行政组织法,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,472,yes
473,中国法学,2017,,3,构建我国行政审判“参照”惯例制度,柳砚涛,山东大学法学院,17,行政审判;参照;惯例,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,473,yes
474,中国法学,2021,,5,构建认定行政违法前置的行政犯追诉启动模式,张泽涛[1],[1]广州大学法学院,17,行政犯;自然犯;专业性认定;刑事在先,刑法学,刑法学,刑法学,刑法学,刑法学,,474,yes
475,中国法学,2015,0,6,标准必要专利反垄断诉讼问题研究,王晓晔,湖南大学法学院,22,标准必要专利;市场支配地位;FRAND许可费;禁令请求;华为诉IDC案,知识产权法学,民商法学,知识产权法学,知识产权法学,知识产权法学,,475,yes
476,中国法学,2024,000,2,核定征收适用范围的延展及其反思,侯卓[1],[1]中南财经政法大学法学院,21,核定征收;查账征收;税收征收管理法;司法审查;法律规制,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,476,yes
477,中国法学,2015,0,3,核心国际人权条约缔约国报告制度：困境与出路,尹生,中南财经政法大学法学院,18,缔约国报告制度;核心国际人权条约;条约机构;非政府组织;人权法理学,国际法学,国际法学,国际法学,国际法学,国际法学,,477,yes
478,中国法学,2015,0,1,检察官办案责任制相关问题研究,"龙宗智[1,2]",[1]四川大学法学院;[2]教育部2011计划司法文明协同创新中心,17,司法责任制;主任检察官;检察权运行机制,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,478,yes
479,中国法学,2018,,2,检察指导案例效力研究,万春,最高人民检察院法律政策研究室,14,检察指导案例;参照适用;制约因素;效力发挥,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,479,yes
480,中国法学,2022,000,4,检察环境公益诉讼的理论优化与制度完善,陈晓景[1],[1]河南财经政法大学民商经济法学院,17,公益;环境公益;生态共同体利益;检察环境公益诉讼,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,,480,yes
481,中国法学,2019,,3,正当程序原则司法适用的正当性:回归规范立场,蒋红珍[1],[1]上海交通大学凯原法学院,18,正当程序原则;司法适用;法定程序;规范依据,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,481,yes
482,中国法学,2019,,2,"正当防卫中的""误判特权""及其边界",陈璇[1],[1]中国人民大学刑事法律科学研究中心,25,正当防卫;误判特权;判断标准;防卫限度,刑法学,刑法学,刑法学,刑法学,刑法学,,482,yes
483,中国法学,2019,,2,正当防卫限度判断的适用难题与改进方案,"姜涛[1,2]",[1]南京师范大学法学院;[2]中国法治现代化研究院,21,正当防卫;责任阻却事由;必需说;适当说;法律不强人所难,刑法学,刑法学,刑法学,刑法学,刑法学,,483,yes
484,中国法学,2023,000,6,正确认识和评价马锡五审判方式,郝铁川[1],[1]河南大学法学院,17,马锡五审判方式;集体司法智慧;全过程人民民主;全过程能动司法,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,484,yes
485,中国法学,2015,0,1,死刑替代措施：一个需要警惕的刑法概念,王志祥[1],[1]北京师范大学刑事法律科学研究院,13,死刑替代措施;死刑废除;刑罚结构,刑法学,刑法学,刑法学,刑法学,刑法学,,485,yes
