编号,期刊,年份,题目,作者,作者机构,研究创新性,现状洞察度,理论建构力,逻辑连贯性,学术共识度,前瞻延展性,研究创新性_std,现状洞察度_std,理论建构力_std,逻辑连贯性_std,学术共识度_std,前瞻延展性_std,总分,平均标准差
489,中国法学,2017,比例原则的普遍化与基本权利的性质,陈景辉,中国政法大学,84.2,88.8,76.8,90.5,86.8,64.5,6.4,3.0,8.4,1.9,3.5,8.8,81.92,5.33
490,中国法学,2022,比例原则的法理属性及其私法适用,于柏华[1],[1]浙江工商大学法学院,76.5,85.5,85.8,89.2,87,56.8,19.1,1.7,2.9,1.9,3.8,11.4,80.12,6.8
491,中国法学,2021,民事二审不开庭审理的反思与修正,段文波[1],[1]西南政法大学,81.2,65.8,73.5,81.8,82.5,67,5.4,4.9,6.4,2.9,5.3,3.5,75.29,4.73
492,中国法学,2024,民事再审之诉“二阶化构造”的程序重塑,段文波[1],[1]西南政法大学比较民事诉讼法研究中心,72,86.5,85.8,86.8,86.2,67.5,13.4,1.7,5.9,4.3,1.5,2.1,80.79,4.82
493,中国法学,2023,民事救济规范竞争关系的协调,李世刚[1],[1]复旦大学法学院,87,88.5,73.2,80.8,81.2,77.5,2.4,1.0,9.1,3.4,7.5,2.9,81.38,4.38
494,中国法学,2023,民事案件事实形成中的方法论命题,王雷[1],[1]中国政法大学民商经济法学院,68,83.8,79.5,85.8,85.8,75.8,12.0,8.4,5.3,2.5,0.5,2.9,79.75,5.27
495,中国法学,2022,民事禁令程序构建原理,吴英姿[1],[1]南京大学法学院,72.5,85.2,79.8,86.2,85.2,74.2,21.8,2.1,7.4,1.3,2.1,4.8,80.54,6.58
496,中国法学,2016,民事证明责任分配的实质性原则,胡东海,中南财经政法大学法学院,69,85.5,72,82.8,74,53.8,20.7,1.7,15.3,3.6,11.9,2.5,72.83,9.28
497,中国法学,2018,民事诉讼法适用中的证明责任,李浩,南京师范大学法学院,65.2,68,72.2,79,73.5,48,12.4,3.6,12.3,7.8,21.0,5.7,67.67,10.47
498,中国法学,2018,民事诉讼的社会化,王福华,上海财经大学法学院,38.8,78.5,54.2,74.8,82,65,3.0,6.0,15.8,3.8,3.3,2.4,65.54,5.72
499,中国法学,2020,民事诉讼证据失权制度的衰落与重建,吴泽勇[1],[1]华东师范大学法学院,85,81.2,66.5,82.2,81,83,4.1,3.0,22.1,4.9,4.2,3.5,79.83,6.97
500,中国法学,2020,民事非法证据排除的规范解释与实务观察,周翠[1],[1]浙江大学光华法学院,82.5,82.2,86,87.8,84.8,81.2,7.1,7.0,2.4,2.1,4.7,3.0,84.08,4.38
501,中国法学,2022,民刑共治：中国式现代犯罪治理新模式,刘艳红[1],[1]中国政法大学刑事司法学院,37.5,65.2,52,79.2,79.5,56.2,5.0,14.2,12.9,6.8,5.0,2.5,61.62,7.73
502,中国法学,2023,民刑关系问题重述：基于义务违反的视角,时延安[1],[1]中国人民大学法学院,67.5,86.8,63,87,83.2,69,28.5,5.3,26.2,6.2,7.6,4.2,76.08,13.0
503,中国法学,2023,民法典人格利益合理使用一般条款研究,姜战军[1],[1]华中科技大学法学院,72.5,68.2,78.5,84.8,87.8,63.8,9.7,4.7,7.4,5.7,2.1,5.1,75.92,5.78
504,中国法学,2020,民法典人格权编的亮点与创新,"王利明[1,2]","[1]中国人民大学法学院,中国人民大学民商事法律科学研究中心;[2]中国法学会民法典编纂项目领导小组",32.5,43.8,37,77.2,74.8,50,2.1,10.3,3.4,5.7,4.7,4.1,52.54,5.05
505,中国法学,2017,民法典制定中的国家与国库问题研究,袁治杰,北京师范大学法学院,78,75.5,59.8,82.2,80,69.2,2.0,6.6,20.1,7.0,4.4,5.1,73.96,7.53
506,中国法学,2021,民法典意义的法理诠释,陈金钊,华东政法大学法律方法研究院,55,61.5,55.8,80.5,71.5,66.8,16.3,14.2,15.6,7.0,7.9,7.9,65.17,11.48
507,中国法学,2023,民法典整体贯彻绿色理念模式研究,徐国栋[1],[1]厦门大学,74.2,78.2,58.8,79.2,84,73,4.3,7.7,9.5,3.0,1.4,6.2,74.58,5.35
508,中国法学,2022,民法典时代的法治政府建设转型,王青斌[1],[1]中国政法大学法治政府研究院,54.2,72,62.8,84.5,86,60,21.6,12.8,10.2,3.0,2.0,4.4,69.92,9.0
509,中国法学,2016,民法典的编纂与商事立法,赵旭东,中国政法大学民商经济法学院,63.8,84.2,36.8,80,73.5,68,16.5,4.3,14.2,5.8,5.8,6.8,67.71,8.9
510,中国法学,2016,民法典编纂与雇佣（劳动）合同规则,谢增毅,中国社会科学院法学研究所,66.2,86.2,50.8,84.5,83.5,65.5,14.4,3.5,22.0,6.6,1.7,9.5,72.79,9.62
511,中国法学,2016,民法典编纂中商事主体立法定位的路径选择,肖海军,湖南大学法学院,63.5,75.2,66.2,84.8,83,66.2,16.6,15.8,15.0,3.4,2.4,5.1,73.17,9.72
512,中国法学,2017,民法典编纂中的立法语言规范化,朱涛,重庆邮电大学法学院,40.8,59.5,43.8,84,74.5,58.8,12.2,4.2,8.5,8.3,3.3,3.0,60.21,6.58
513,中国法学,2019,民法典编纂视野下的个人信息保护,程啸[1],[1]清华大学法学院,67.2,75.2,52.5,80.8,81.8,80,17.2,4.1,18.9,3.4,2.9,0.0,72.92,7.75
514,中国法学,2020,民法典背景下合伙企业财产制度构造,赵玉[1],[1]国家检察官学院,72.5,84.2,77,87.5,86.8,79,21.1,1.5,3.5,1.7,3.6,1.2,81.17,5.43
515,中国法学,2017,民法分则侵权责任编立法研究,张新宝,中国人民大学法学院,55.5,46.2,55.8,83.8,83.8,63,13.1,33.3,10.7,4.6,6.2,2.4,64.67,11.72
516,中国法学,2017,民法分则合同编立法研究,"王利明[1,2]",[1]中国人民大学法学院;[2]中国人民大学民商事法律科学研究中心,42.5,52,44.2,76,72.5,63.2,15.8,13.6,14.2,3.2,12.0,14.2,58.42,12.17
517,中国法学,2017,民法分则婚姻家庭编立法研究,夏吟兰,中国政法大学,55.5,75,41.2,78.5,77.5,68.2,16.5,3.7,4.8,1.0,3.3,4.7,66,5.67
518,中国法学,2017,民法分则物权编立法研究,"崔建远[1,2]",[1]暨南大学法学院;[2]暨南大学知识产权学院,55.8,56.2,47.5,80.8,84.5,75.5,11.3,21.3,2.9,6.4,1.7,2.6,66.71,7.7
519,中国法学,2017,民法分则继承编立法研究,"杨立新[1,2]",[1]中国人民大学法学院;[2]中国人民大学民商事法律科学研究中心,37.5,70,43.8,72,83.5,60,5.0,18.1,8.5,1.6,1.9,5.8,61.12,6.82
520,中国法学,2019,民法基本原则与商法漏洞填补,于莹[1],[1]吉林大学法学院,66.5,77.5,52.2,81,79.8,72.5,21.0,9.7,14.1,3.6,3.5,5.6,71.58,9.58
521,中国法学,2016,民法总则设置商法规范的限度及其理论解释,李建伟,中国政法大学民商经济法学院,63,83,68.5,85,77.8,78.2,15.9,3.5,13.3,2.4,6.1,4.7,75.92,7.65
522,中国法学,2016,民法法典化运动中的知识产权法,"吴汉东[1,2]",[1]中南财经政法大学;[2]教育部人文社科重点研究基地知识产权研究中心,42.5,52,58.2,84.2,79.5,71.8,10.8,16.1,10.4,6.2,7.1,4.7,64.71,9.22
523,中国法学,2017,民间借贷诉讼中的证明责任问题,吴泽勇,华东师范大学法学院,77.5,80.8,81.8,88.8,80.8,65,5.0,5.1,9.7,7.2,3.4,4.1,79.08,5.75
524,中国法学,2023,气候共同体责任分担的法理,徐祥民[1],[1]浙江工商大学,63,54.2,71.5,81,75.2,69.5,17.4,23.4,11.1,3.8,4.7,1.9,69.08,10.38
525,中国法学,2019,法人功能性分类与结构性分类的兼容解释,张力[1],[1]西南政法大学民商法学院,87,81,75.5,89.2,79.2,84.2,3.4,3.5,5.5,3.4,10.2,1.5,82.71,4.58
526,中国法学,2021,法典化时代的刑法典修订,周光权[1],[1]清华大学法学院,61.8,70,47,79.2,84,82.8,8.5,6.3,2.0,3.4,4.2,3.3,70.79,4.62
527,中国法学,2021,法典化的历史叙事,高仰光[1],[1]中国人民大学法学院,69.8,85.2,67.5,85.8,83.5,77.2,26.5,3.8,15.2,1.5,1.7,3.8,78.17,8.75
528,中国法学,2018,法域冲突的排除：立场、规则与适用,于改之,华东政法大学法律学院,71.8,75,81.8,82.5,86,72,20.0,26.8,2.9,3.3,1.4,2.4,78.17,9.47
529,中国法学,2021,法域协调视角下规范保护目的理论之重构,于改之[1],[1]华东政法大学刑事法学院,78,87,81.5,85,85.8,58.8,9.2,3.5,4.0,2.4,1.5,4.8,79.33,4.23
530,中国法学,2015,法官如何说理：中国经验与普遍原理,凌斌[1],[1]北京大学法学院,75,83.5,72,90.2,83.8,78.2,7.3,4.1,16.1,3.5,2.1,2.4,80.46,5.92
531,中国法学,2023,法定物权的自由展开：经济分析与法律教义,"熊丙万[1,2]",[1]中国人民大学民商事法律科学研究中心;[2]中国人民大学法学院,80.5,82.8,77.2,85,87.8,81.2,10.3,2.6,7.3,4.2,2.1,3.0,82.42,4.92
532,中国法学,2024,法律人思维与法律观点,陈景辉[1],[1]中国人民大学法学院,70.5,80.2,85.5,89,85,57,19.4,6.0,4.9,1.2,2.4,6.3,77.88,6.7
533,中国法学,2022,法律价值的系统论格局,陈征楠[1],[1]华南理工大学法学院,72.5,67.8,84.2,85.5,79.2,45.2,18.6,25.8,8.7,2.1,8.3,10.9,72.42,12.4
534,中国法学,2022,法律位阶判断标准的反思与运用,王锴[1],[1]北京航空航天大学法学院,82.2,77,87,86.8,78,66.2,4.9,8.8,2.4,2.4,13.8,5.1,79.54,6.23
535,中国法学,2018,法律实证研究的兴起与分化,陈柏峰,中南财经政法大学法学院,38.8,77.5,50,73.2,81.2,80.2,7.5,8.8,5.8,12.2,5.4,3.3,66.83,7.17
536,中国法学,2024,法律思维中的“软计算”和贝叶斯语言方法,刘东亮[1],[1]西安交通大学法学院,56,80,76.5,85.5,79.5,70.2,13.3,7.7,3.0,1.7,5.0,5.6,74.62,6.05
537,中国法学,2024,法律方法的体系构造,黄泽敏[1],[1]上海财经大学法学院,70.5,71.8,88.8,82.8,87.5,76.8,27.0,9.7,1.0,3.6,5.0,5.7,79.67,8.67
538,中国法学,2020,法律权力的含义和属性,"吴玉章[1,2]",[1]常州大学史良法学院;[2]中国社会科学院法学研究所,45.8,62.5,46,77.5,66.8,55.2,8.3,2.9,4.2,2.9,6.7,7.8,58.96,5.47
539,中国法学,2018,法律的“交叉”研究和应用的原理,郑永流,中国政法大学中欧法学院,53.8,67.8,54.5,68.2,68.5,68.8,10.3,15.2,9.9,5.3,10.6,4.8,63.58,9.35
540,中国法学,2022,法律监督机关的宪法内涵,朱全宝[1],[1]宁波大学法学院,61.5,63.5,72.5,88,82.8,74.2,14.5,17.2,10.4,3.6,4.6,5.9,73.75,9.37
541,中国法学,2016,法律行为解消清算规则之体系统合,汤文平,暨南大学法学院,81.5,81.5,73.2,87.8,85.8,74.5,8.2,3.9,14.5,2.1,1.5,6.7,80.71,6.15
542,中国法学,2016,法律规范之间抵触标准研究,胡建淼,国家行政学院,63.8,72.8,82,86.5,82.8,44.5,14.6,9.3,6.7,1.7,1.5,5.3,72.04,6.52
543,中国法学,2022,法律规范事中合宪性审查的制度建构,朱学磊[1],[1]中国社会科学院法学研究所,77.5,76.2,75.5,86.8,88.2,79,7.1,3.5,3.0,1.3,2.4,1.2,80.54,3.08
544,中国法学,2022,法律规范体系化背景下的行政诉讼制度的完善,江必新[1],[1]湖南大学法学院,31.2,59,40,54.2,62,71.8,2.5,12.5,5.8,8.1,10.9,2.9,53.04,7.12
545,中国法学,2018,法律解释方法在指导性案例中的运用及其完善,孙光宁,山东大学（威海）法学院,31.2,65.5,48.8,78.5,77,72.5,2.5,12.6,4.8,2.5,5.6,4.1,62.25,5.35
546,中国法学,2023,法律解释的公共性,"郭春镇[1,2]",[1]厦门大学法学院;[2]党内法规研究中心,60,73.5,65.8,81.8,77.2,61.2,11.7,11.3,7.4,4.3,1.5,4.8,69.92,6.83
547,中国法学,2015,法律议论的社会科学研究新范式,季卫东,上海交通大学凯原法学院,65.5,86.2,42.5,86.5,81,78.2,18.9,2.5,32.2,2.4,6.2,2.4,73.33,10.77
548,中国法学,2022,法律责任概念的反思与重构,李拥军[1],[1]吉林大学法学院,82.5,84.5,75,81.8,83.8,56.2,5.6,3.9,9.6,2.9,1.3,6.3,77.29,4.93
549,中国法学,2020,法律适用中理由和观点的关系:局外观察视角,刘星[1],[1]中国政法大学法学院,56.2,72,55.2,84,76.8,54.5,14.4,4.3,25.5,6.2,4.3,8.8,66.46,10.58
550,中国法学,2016,法治中国建设的“共建共享”路径与策略,马长山,华东政法大学,30,47,38.8,79.2,57.5,47.8,0.0,33.0,4.8,6.8,11.0,4.9,50.04,10.08
551,中国法学,2016,法治中国背景下国家责任论纲,陶凯元,最高人民法院,32.5,66,58,74.2,79,75,5.0,5.9,7.1,2.9,4.2,0.0,64.12,4.18
552,中国法学,2015,法治体系形成指标的法理研究,关保英[1],[1]上海政法学院,28.8,36.2,43.8,69,49.2,59.2,4.8,17.5,2.5,4.8,6.8,5.1,47.71,6.92
553,中国法学,2016,法治语境下极端主义犯罪治理定量研究,赵军,北京师范大学刑事法律科学研究院,57.8,59.5,63,89,84.8,80.8,19.1,40.1,23.5,4.8,4.7,2.2,72.46,15.73
554,中国法学,2020,法理:法实践的正当性理由,郭晔[1],[1]浙江大学光华法学院,35.5,69.2,67.2,81.5,72,45.8,6.4,27.2,18.6,2.5,15.3,10.8,61.88,13.47
555,中国法学,2020,法理即法律原理之解说,"胡玉鸿[1,2]",[1]华东政法大学法律学院;[2]南京师范大学中国法治现代化研究院,48,80.5,43.8,82.5,83.8,62.5,11.5,6.1,13.1,3.7,8.1,8.8,66.83,8.55
556,中国法学,2021,法理概念的义项、构造与功能:基于120108份裁判文书的分析,郭栋[1],[1]北京大学法学院,57.5,71.8,74.2,82.5,76.8,58.8,17.6,6.9,5.9,3.3,14.6,19.4,70.25,11.28
557,中国法学,2019,法益自决权与侵犯公民个人信息罪的司法边界,"冀洋[1,2]",[1]东南大学法学院;[2]东南大学反腐败法治研究中心暨人民法院司法大数据研究基地,72,75.8,87.8,83.5,75.8,53.8,18.2,5.9,10.6,1.7,5.9,11.6,74.75,8.98
558,中国法学,2015,注册商标三年不使用撤销制度体系化解读,张玉敏,西南政法大学,65.2,69.5,83.2,82.5,85.8,80.5,22.6,9.8,5.7,3.3,1.5,1.9,77.79,7.47
559,中国法学,2022,涉外法治的概念与体系,张龑[1],[1]中国人民大学法学院,52,68.5,51.2,78,76.8,48.8,19.3,29.2,7.5,4.3,4.3,11.1,62.54,12.62
560,中国法学,2024,深入推进依法行政,马怀德[1],[1]中国政法大学,30,26.2,37.5,66.8,47.8,65.8,0.0,7.5,8.7,3.5,12.8,12.3,45.67,7.47
561,中国法学,2024,清代的轻罪治理及其当代启示,谢晶[1],[1]中国政法大学法学院,81.8,81,69,85.8,80,75,7.4,5.3,12.3,2.9,10.0,2.4,78.75,6.72
562,中国法学,2016,滥用市场支配地位理论的司法考量,刘贵祥,最高人民法院审判委员会,71,76.2,63.2,77.5,79.2,73,5.6,3.5,10.9,4.1,6.0,7.7,73.48,6.3
563,中国法学,2024,物上担保权益的分层构造及实现保障,张家勇[1],[1]中南财经政法大学法学院,84,74.2,85,89.2,84,74,4.9,19.6,6.2,1.9,6.2,2.7,81.75,6.92
564,中国法学,2020,物权编对四种他物权制度的完善和发展,"崔建远[1,2]",[1]清华大学法学院;[2]中国法学会民法典编纂项目领导小组,79.2,78,53,83.2,81.5,73,7.2,14.8,17.3,1.5,4.0,6.0,74.67,8.47
565,中国法学,2017,犯罪圈与刑法修正的结构控制,白建军,北京大学法学院,81.5,83,85,86.8,85.2,80.5,4.0,3.4,2.4,6.7,4.7,1.0,83.67,3.7
566,中国法学,2016,犯罪热点成因：基于空间相关性的解释,单勇,同济大学法学院,55.5,59.2,78.5,88.5,76.2,81.5,16.5,33.0,5.0,7.0,4.2,4.0,73.25,11.62
567,中国法学,2017,环境侵权类型的重构,窦海阳,中国社会科学院法学研究所,71.8,61.2,81,83.8,80.8,64.2,11.9,14.5,7.3,3.5,3.4,4.3,73.79,7.48
568,中国法学,2016,环境司法专门化发展的实证检视：以环境审判机构和环境审判机制为中心,张忠民,中南财经政法大学法学院,46.2,55,66.2,82.2,75.5,75,16.5,22.7,8.5,3.1,7.6,3.5,66.71,10.32
569,中国法学,2016,环境司法理性不能止于“天价”赔偿：泰州环境公益诉讼案评析,吕忠梅,全国政协社会与法制委员会,62.2,78.5,52.5,85.2,85.5,72.2,18.2,4.7,28.2,3.8,5.4,7.6,72.71,11.32
570,中国法学,2017,环境权的规范效力：可诉性和具体化,胡静,中国政法大学民商经济法学院,80.3,81.7,73.3,87.3,75.8,74.5,4.0,1.5,13.3,8.1,5.9,5.5,78.45,6.38
571,中国法学,2024,环境民事公益诉讼中停止侵害责任适用研究,胡静[1],[1]中国政法大学民商经济法学院,71,74,79.2,87.8,86.2,67,11.9,2.7,5.6,3.1,1.3,2.4,77.54,4.5
572,中国法学,2018,环境民事公私益诉讼并行审理的困境与出路,张旭东,福州大学法学院,65.8,48,75.2,87.8,73.5,71.8,9.9,21.7,5.3,5.1,18.7,4.7,70.33,10.9
573,中国法学,2025,环境法体系化的范式转向及其实现,杜辉[1],[1]重庆大学法学院,46.2,81,66,85,87,68.2,26.9,6.8,6.9,2.4,3.4,21.7,72.25,11.35
574,中国法学,2022,环境法典基本原则条款构建研究,曹炜[1],[1]中国人民大学法学院,66.8,72.8,75,83.2,85.8,68.2,14.3,12.1,13.1,1.5,1.5,5.3,75.29,7.97
575,中国法学,2023,环境法典编纂论纲,"吕忠梅[1,2]",[1]中国法学会;[2]中国法学会环境资源法学研究会,37.5,80,51.2,85.8,66.8,77.5,2.9,5.9,22.9,2.9,28.1,5.6,66.46,11.38
576,中国法学,2016,环境法学核心范畴之重构：环境法的法权结构论,史玉成,甘肃政法学院,67.2,79.5,73.2,83.5,81,66.5,12.0,7.1,4.3,1.7,2.0,1.7,75.17,4.8
577,中国法学,2018,环境监管中的“规范执行偏离效应”研究,曹炜[1],[1]中国人民大学法学院,66.2,81.8,76.8,79,79.8,75.5,8.5,3.3,5.7,2.0,3.5,4.4,76.5,4.57
578,中国法学,2017,环境质量标准的侵权法适用研究,陈伟,南京大学法学院,71.8,81.2,79.5,83.2,86.5,77.5,20.0,2.5,4.2,3.6,1.7,3.3,79.96,5.88
579,中国法学,2015,环境质量目标主义：关于环境法直接规制目标的思考,徐祥民,中国海洋大学,69.3,56.2,64.5,79,79.2,82,9.8,9.5,13.8,2.0,6.5,2.9,71.83,7.42
580,中国法学,2020,现货与期货交易的界分标准与法律规制,吴越[1],[1]西南财经大学法学院,57,80.2,76,77.5,79.5,78.8,23.7,4.8,5.9,6.6,7.8,4.8,74.83,8.93
581,中国法学,2023,生前赠与在继承中的效力问题研究,李永军[1],[1]中国政法大学民商经济法学院,76.8,72.5,67.8,80.5,85.5,76.8,7.0,7.1,2.1,1.9,2.6,8.9,76.62,4.93
582,中国法学,2021,生态文明体制改革中自然资源资产分级行使制度研究,邓海峰[1],[1]清华大学法学院,75,86.5,81.2,84.8,77,67.2,18.1,3.0,6.4,2.5,14.8,7.0,78.62,8.63
583,中国法学,2022,生态环境修复责任的体系化构造,刘长兴[1],[1]华南理工大学法学院,70.2,86.5,72.2,87.8,86.5,75.5,17.6,1.7,11.0,2.1,2.4,7.6,79.79,7.07
584,中国法学,2023,生态环境犯罪中的拟制财产权,焦艳鹏[1],[1]华东政法大学,61.8,59,74,81.5,87,60.2,31.7,8.0,8.0,4.7,3.4,5.6,70.58,10.23
585,中国法学,2024,生成式人工智能训练语料的个人信息保护研究,"张新宝[1,2]",[1]中国人民大学法学院;[2]中国人民大学民商事法律科学研究中心,61.2,56.8,59.8,86,75.2,77,11.9,14.2,21.2,1.4,12.4,6.0,69.33,11.18
586,中国法学,2021,生物医学研究伦理规制的法治化,赵鹏[1],[1]中国政法大学法治政府研究院,65.5,75.8,77.8,85,84.8,78,12.6,7.0,8.4,2.4,4.7,5.7,77.79,6.8
587,中国法学,2018,用中国特色社会主义法治理论引领法治体系建设,胡明,中国政法大学党委,22.5,38.2,42.5,60.8,27.5,52,5.0,26.1,2.9,14.1,19.4,11.2,40.58,13.12
589,中国法学,2019,电子商务平台经营者安保责任研究,王道发[1],[1]中央财经大学法学院,70.5,77.5,74.2,78,84.5,63.2,4.2,7.6,7.4,3.3,4.1,6.2,74.67,5.47
590,中国法学,2018,登记对抗主义的反思与改造：《物权法》第24条解析,庄加园,上海交通大学凯原法学院,76.2,85.2,81,86.5,76.5,67.2,11.2,2.5,6.2,1.7,5.4,21.5,78.79,8.08
591,中国法学,2016,监控者与管理者可否合一：行政法学体系转型的基础问题,沈岿,北京大学宪法与行政法研究中心,74.2,84.5,80.5,85.2,86,82,1.5,3.3,6.1,0.5,1.4,3.6,82.08,2.73
592,中国法学,2015,相对集中行政处罚权改革研究,王敬波,,64.5,53,56.2,85.2,81.2,77.5,11.4,18.9,19.5,2.5,3.0,5.6,69.62,10.15
593,中国法学,2023,知识产权法与反不正当竞争法关系重探,刘银良[1],[1]烟台大学,83.2,88.5,75.8,91.8,85.8,51.2,7.6,2.9,11.3,4.7,1.5,12.5,79.38,6.75
594,中国法学,2021,知识产权许可费赔偿方法的功能、价值准则与体系重构,杨涛[1],[1]华中师范大学法学院,58.5,84.5,74.2,81.8,85.2,61.5,22.6,8.4,7.0,4.3,0.5,11.4,74.29,9.03
595,中国法学,2022,知道规则的内在逻辑与科学分类,张继成[1],[1]中南财经政法大学法学院,57.8,49.8,88.5,87.5,80.5,68.8,14.2,17.8,4.0,4.1,5.0,4.8,72.12,8.32
596,中国法学,2018,破产程序中的税法问题研究,徐阳光,中国人民大学法学院,67.2,83.5,56.8,82.5,78.2,73.2,12.8,10.1,4.3,3.0,2.9,3.5,73.58,6.1
597,中国法学,2022,社会主义核心价值观的法源地位及其作用提升,孙光宁[1],[1]山东大学法学院(威海),48.8,67,55,80.5,75,60.8,22.6,24.7,0.0,1.9,3.5,5.1,64.5,9.63
598,中国法学,2019,社会信用体系建设的法治之道,沈岿[1],[1]北京大学法学院,55.5,47.5,71.2,81.8,81,69.2,18.4,27.2,9.4,7.4,2.0,3.4,67.71,11.3
599,中国法学,2024,社会本位的中国基本权利功能体系构建,"李忠夏[1,2]",[1]中国人民大学法学院;[2]中国人民大学习近平法治思想研究中心,67.2,83.5,82.2,83.2,83.5,80.2,11.0,5.2,10.2,3.5,5.8,3.3,80,6.5
600,中国法学,2023,社会系统论视角下实现碳达峰碳中和目标的法律对策,曹明德[1],[1]中国政法大学民商经济法学院,60,68.2,74,83.2,84.2,66.5,12.9,9.4,8.0,5.7,2.9,1.7,72.71,6.77
601,中国法学,2017,社会组织及其法制化研究,鲍绍坤,中国法学会,30,43,31.8,53.2,68.2,60.2,0.0,14.6,4.7,16.4,4.7,5.6,47.75,7.67
602,中国法学,2015,社会自我规制与行政法的任务,高秦伟[1],[1]中央财经大学法学院,31.2,79.5,46.8,82,80.2,77.2,6.3,1.9,5.7,7.7,4.8,2.2,66.17,4.77
603,中国法学,2022,社会诚信机制基层运用的实践逻辑,陈柏峰[1],[1]中南财经政法大学法学院、国家治理学院,64.8,61.8,52.2,85.2,82.5,78.8,15.9,10.1,14.8,6.9,1.0,3.0,70.88,8.62
604,中国法学,2022,禁止重复起诉规则之重构:以合同效力的职权审查为背景,曹志勋[1],[1]北京大学法学院,78.5,86.2,83.8,89,78.5,79,9.1,3.3,3.5,1.2,17.1,4.5,82.5,6.45
605,中国法学,2021,私人复制的著作权法制度应对:从机械复制到云服务,杨明,北京大学法学院,69,80.2,74.5,85.2,86,79.2,23.0,3.3,15.2,5.3,1.4,3.4,79.04,8.6
606,中国法学,2019,私法渗入公法的必然与边界,张淑芳[1],[1]上海财经大学法学院,36.8,73.8,45,70.5,68.8,57.5,5.4,3.9,4.1,3.0,3.8,13.2,58.71,5.57
607,中国法学,2017,科研人员的刑法定位：从宪法教义学视域的思考,姜涛,南京师范大学法学院,79.5,76.2,71.2,88.2,86.2,62,8.4,15.5,6.4,2.4,2.5,5.7,77.25,6.82
608,中国法学,2020,科研项目经费管理改革的法治化路径,蒋悟真[1],[1]华南理工大学法学院、法治经济与法治社会研究中心,36.2,54.2,55.5,78.5,82.2,71.8,4.8,26.7,13.3,4.7,2.1,4.7,63.08,9.38
609,中国法学,2015,程序性救济的制度模式及改造,詹建红[1],[1]中南财经政法大学法学院,79.2,79.2,75.8,84,77.2,84.2,3.9,7.9,9.2,4.9,2.2,1.5,79.96,4.93
610,中国法学,2022,程序性犯罪构成要素的性质,杜宇[1],[1]复旦大学法学院,77.5,83.8,88.5,87.2,85.8,65.5,5.6,2.1,2.9,1.5,1.5,23.9,81.38,6.25
611,中国法学,2016,税收法定视域中的地方税收立法权,苗连营,郑州大学法学院,58.8,71.2,53.8,84.2,72.5,75.8,21.5,5.4,14.4,4.3,20.6,1.5,69.38,11.28
612,中国法学,2018,立案登记背景下立案庭的定位及其未来走向,张嘉军,郑州大学法学院,40,54,63.8,81.5,77.2,75.5,12.2,27.2,6.8,6.5,2.2,4.9,65.33,9.97
613,中国法学,2024,立法主体宪法说理义务的法律化,任喜荣[1],[1]吉林大学理论法学研究中心、法学院,44.8,81.2,54.8,86.2,80.8,73.5,16.2,6.5,0.5,1.5,3.4,3.4,70.21,5.25
614,中国法学,2021,立法原意何处寻:评2021年最高人民法院适用刑事诉讼法司法解释,龙宗智[1],[1]四川大学法学院,61.8,66.2,43.5,85,83,76,14.2,3.9,1.7,5.7,3.8,4.2,69.25,5.58
615,中国法学,2018,立法性决定的界定与效力,金梦,华东政法大学法律方法研究院、立法与政治发展研究中心,53.8,50,55.8,74.8,56.8,57.5,20.2,4.4,10.7,5.7,15.4,2.9,58.08,9.88
616,中国法学,2020,立法扩张与司法限缩:刑法谦抑性的展开,田宏杰[1],[1]中国人民大学刑事法律科学研究中心,71,75,76.8,87.8,71.2,74.2,7.7,2.6,8.1,2.1,17.7,2.9,76,6.85
617,中国法学,2025,立法社会效果考量的方式及其决策思维,"王怡[1,2]",[1]中国社会科学院法学研究所;[2]中国社会科学院大学法学院,66.8,73.5,60.5,78.8,77.5,73.2,11.2,15.2,6.0,3.0,8.8,7.6,71.71,8.63
618,中国法学,2017,符合强制性标准与侵权责任承担的关系,谭启平,西南政法大学民商法学院,71.5,86.2,73.2,83,84,81.2,21.4,3.5,14.4,3.4,4.2,7.5,79.88,9.07
619,中国法学,2022,符合法律的宪法解释与宪法发展,杜强强[1],[1]首都师范大学政法学院,85,85.5,86.5,88.5,86,82.5,2.4,2.6,1.7,1.0,5.4,3.3,85.67,2.73
620,中国法学,2023,答复类行政解释的行政诉讼法定位及其司法审查,金自宁[1],[1]北京大学法学院,84,71.8,78.5,89.2,89.2,70,2.0,5.3,5.7,5.1,3.4,10.3,80.46,5.3
621,中国法学,2017,简牍所见秦县少吏研究,朱腾,中国人民大学法学院,53.5,78,51.2,82,76.2,52,17.8,5.7,20.2,7.1,3.5,19.6,65.5,12.32
622,中国法学,2022,算法侵害责任框架刍议,王莹[1],[1]中国人民大学法学院未来法治研究院、刑事法律科学研究中心,72.2,63.8,70.5,86.8,75,69,7.1,20.2,9.8,4.0,12.5,16.1,72.88,11.62
623,中国法学,2020,算法规制的谱系,苏宇[1],[1]中国人民公安大学法学与犯罪学学院,52.2,78.8,64,80.8,77.8,83,23.2,7.9,9.5,4.6,3.1,3.5,72.75,8.63
624,中国法学,2020,类似必要共同诉讼适用机制研究,"汤维建[1,2]",[1]中国人民大学法学院;[2]中国人民大学民商事法律科学研究中心,74.5,77.5,81.2,83.2,90.8,76,14.1,5.6,7.9,4.3,5.9,4.2,80.54,7.0
