编号,期刊,年份,卷,期,题目,作者,作者机构,页数,原分类,专家分类,分类情形
462,中国法学,2019,,4,新时代政法改革论纲,黄文艺[1],[1]中国人民大学法学院,21,诉讼法学,,
463,中国法学,2019,,6,新时代检察权的定位、特征与发展趋向,苗生明[1],[1]最高人民检察院第一检察厅,17,诉讼法学,,
464,中国法学,2024,000,2,新时代能动司法的倡导与回应型司法的构建,顾培东[1],[1]四川大学法学院,20,法学理论,,
465,中国法学,2023,000,1,新科技时代的法学基本范畴：挑战与回应,雷磊[1],[1]中国政法大学法学院,20,法学理论,,
466,中国法学,2019,,5,智慧社会背景下的“第四代人权”及其保障,马长山[1],[1]华东政法大学,20,宪法学与行政法学,,
467,中国法学,2016,0,6,最高人民检察院司法解释研究,孙谦,最高人民检察院,15,诉讼法学,,
468,中国法学,2019,,2,有限公司股东清算义务人地位质疑,梁上上[1],[1]清华大学,19,民商法学,,
469,中国法学,2022,000,3,未成年人违警行为的提出与立法辨证,姚建龙[1],[1]上海社会科学院法学研究所,17,刑法学,,
470,中国法学,2020,,1,机关运行保障的立法逻辑,"湛中乐[1,2]",[1]北京大学法学院;[2]石河子大学法学院,18,宪法学与行政法学,,
471,中国法学,2016,,3,机动车自愿责任险排除连带赔偿责任,"邢海宝[1,2]",[1]中国人民大学民商事法律科学研究中心;[2]中国人民大学法学院,17,民商法学,,
472,中国法学,2018,,1,权力挂起：行政组织法的新变式？,熊樟林,东南大学法学院,19,宪法学与行政法学,,
473,中国法学,2017,,3,构建我国行政审判“参照”惯例制度,柳砚涛,山东大学法学院,17,诉讼法学,,
474,中国法学,2021,,5,构建认定行政违法前置的行政犯追诉启动模式,张泽涛[1],[1]广州大学法学院,17,刑法学,,
475,中国法学,2015,0,6,标准必要专利反垄断诉讼问题研究,王晓晔,湖南大学法学院,22,知识产权法学,,
476,中国法学,2024,000,2,核定征收适用范围的延展及其反思,侯卓[1],[1]中南财经政法大学法学院,21,宪法学与行政法学,,
477,中国法学,2015,0,3,核心国际人权条约缔约国报告制度：困境与出路,尹生,中南财经政法大学法学院,18,国际法学,,
478,中国法学,2015,0,1,检察官办案责任制相关问题研究,"龙宗智[1,2]",[1]四川大学法学院;[2]教育部2011计划司法文明协同创新中心,17,诉讼法学,,
479,中国法学,2018,,2,检察指导案例效力研究,万春,最高人民检察院法律政策研究室,14,诉讼法学,,
480,中国法学,2022,000,4,检察环境公益诉讼的理论优化与制度完善,陈晓景[1],[1]河南财经政法大学民商经济法学院,17,环境与资源保护法学,,
481,中国法学,2019,,3,正当程序原则司法适用的正当性:回归规范立场,蒋红珍[1],[1]上海交通大学凯原法学院,18,诉讼法学,,
482,中国法学,2019,,2,"正当防卫中的""误判特权""及其边界",陈璇[1],[1]中国人民大学刑事法律科学研究中心,25,刑法学,,
483,中国法学,2019,,2,正当防卫限度判断的适用难题与改进方案,"姜涛[1,2]",[1]南京师范大学法学院;[2]中国法治现代化研究院,21,刑法学,,
484,中国法学,2023,000,6,正确认识和评价马锡五审判方式,郝铁川[1],[1]河南大学法学院,17,诉讼法学,,
485,中国法学,2015,0,1,死刑替代措施：一个需要警惕的刑法概念,王志祥[1],[1]北京师范大学刑事法律科学研究院,13,刑法学,,
486,中国法学,2021,,2,死刑案件量刑阶段的轻刑推定原则,姚莉[1],[1]中南财经政法大学法学院,17,刑法学,,
487,中国法学,2018,,2,死刑适用的规范论标准,冯军,中国人民大学刑事法律科学研究中心,18,刑法学,,
488,中国法学,2016,,2,比例原则在民法上的适用及展开,郑晓剑,厦门大学法学院,23,民商法学,,
489,中国法学,2017,,5,比例原则的普遍化与基本权利的性质,陈景辉,中国政法大学,24,宪法学与行政法学,,
490,中国法学,2022,000,6,比例原则的法理属性及其私法适用,于柏华[1],[1]浙江工商大学法学院,22,民商法学,,
491,中国法学,2021,0,6,民事二审不开庭审理的反思与修正,段文波[1],[1]西南政法大学,19,诉讼法学,,
492,中国法学,2024,000,2,民事再审之诉“二阶化构造”的程序重塑,段文波[1],[1]西南政法大学比较民事诉讼法研究中心,21,诉讼法学,,
493,中国法学,2023,000,2,民事救济规范竞争关系的协调,李世刚[1],[1]复旦大学法学院,20,刑法学,,
494,中国法学,2023,000,1,民事案件事实形成中的方法论命题,王雷[1],[1]中国政法大学民商经济法学院,22,民商法学,,
495,中国法学,2022,000,2,民事禁令程序构建原理,吴英姿[1],[1]南京大学法学院,21,诉讼法学,,
496,中国法学,2016,,4,民事证明责任分配的实质性原则,胡东海,中南财经政法大学法学院,16,诉讼法学,,
497,中国法学,2018,,1,民事诉讼法适用中的证明责任,李浩,南京师范大学法学院,19,诉讼法学,,
498,中国法学,2018,,1,民事诉讼的社会化,王福华,上海财经大学法学院,25,诉讼法学,,
499,中国法学,2020,,3,民事诉讼证据失权制度的衰落与重建,吴泽勇[1],[1]华东师范大学法学院,21,诉讼法学,,
500,中国法学,2020,,3,民事非法证据排除的规范解释与实务观察,周翠[1],[1]浙江大学光华法学院,21,诉讼法学,,
501,中国法学,2022,000,6,民刑共治：中国式现代犯罪治理新模式,刘艳红[1],[1]中国政法大学刑事司法学院,20,刑法学,,
502,中国法学,2023,000,1,民刑关系问题重述：基于义务违反的视角,时延安[1],[1]中国人民大学法学院,22,刑法学,,
503,中国法学,2023,000,3,民法典人格利益合理使用一般条款研究,姜战军[1],[1]华中科技大学法学院,21,诉讼法学,,
504,中国法学,2020,,4,民法典人格权编的亮点与创新,"王利明[1,2]","[1]中国人民大学法学院,中国人民大学民商事法律科学研究中心;[2]中国法学会民法典编纂项目领导小组",21,民商法学,,
505,中国法学,2017,,3,民法典制定中的国家与国库问题研究,袁治杰,北京师范大学法学院,20,民商法学,,
506,中国法学,2021,0,1,民法典意义的法理诠释,陈金钊,华东政法大学法律方法研究院,20,民商法学,,
507,中国法学,2023,000,2,民法典整体贯彻绿色理念模式研究,徐国栋[1],[1]厦门大学,23,环境与资源保护法学,,
508,中国法学,2022,000,6,民法典时代的法治政府建设转型,王青斌[1],[1]中国政法大学法治政府研究院,23,民商法学,,
509,中国法学,2016,,4,民法典的编纂与商事立法,赵旭东,中国政法大学民商经济法学院,15,民商法学,,
510,中国法学,2016,,4,民法典编纂与雇佣（劳动）合同规则,谢增毅,中国社会科学院法学研究所,19,民商法学,,
511,中国法学,2016,,4,民法典编纂中商事主体立法定位的路径选择,肖海军,湖南大学法学院,18,民商法学,,
512,中国法学,2017,,1,民法典编纂中的立法语言规范化,朱涛,重庆邮电大学法学院,19,民商法学,,
513,中国法学,2019,,4,民法典编纂视野下的个人信息保护,程啸[1],[1]清华大学法学院,18,民商法学,,
514,中国法学,2020,,6,民法典背景下合伙企业财产制度构造,赵玉[1],[1]国家检察官学院,19,民商法学,,
515,中国法学,2017,,3,民法分则侵权责任编立法研究,张新宝,中国人民大学法学院,22,民商法学,,
516,中国法学,2017,,2,民法分则合同编立法研究,"王利明[1,2]",[1]中国人民大学法学院;[2]中国人民大学民商事法律科学研究中心,23,民商法学,,
517,中国法学,2017,,3,民法分则婚姻家庭编立法研究,夏吟兰,中国政法大学,16,民商法学,,
518,中国法学,2017,,2,民法分则物权编立法研究,"崔建远[1,2]",[1]暨南大学法学院;[2]暨南大学知识产权学院,19,民商法学,,
519,中国法学,2017,,2,民法分则继承编立法研究,"杨立新[1,2]",[1]中国人民大学法学院;[2]中国人民大学民商事法律科学研究中心,21,民商法学,,
520,中国法学,2019,,4,民法基本原则与商法漏洞填补,于莹[1],[1]吉林大学法学院,18,民商法学,,
521,中国法学,2016,,4,民法总则设置商法规范的限度及其理论解释,李建伟,中国政法大学民商经济法学院,19,民商法学,,
522,中国法学,2016,,4,民法法典化运动中的知识产权法,"吴汉东[1,2]",[1]中南财经政法大学;[2]教育部人文社科重点研究基地知识产权研究中心,16,知识产权法学,,
523,中国法学,2017,,5,民间借贷诉讼中的证明责任问题,吴泽勇,华东师范大学法学院,21,诉讼法学,,
524,中国法学,2023,000,5,气候共同体责任分担的法理,徐祥民[1],[1]浙江工商大学,20,法学理论,,
525,中国法学,2019,,2,法人功能性分类与结构性分类的兼容解释,张力[1],[1]西南政法大学民商法学院,19,民商法学,,
526,中国法学,2021,,5,法典化时代的刑法典修订,周光权[1],[1]清华大学法学院,28,刑法学,,
527,中国法学,2021,,5,法典化的历史叙事,高仰光[1],[1]中国人民大学法学院,19,法学理论,,
528,中国法学,2018,,4,法域冲突的排除：立场、规则与适用,于改之,华东政法大学法律学院,21,民商法学,,
529,中国法学,2021,,2,法域协调视角下规范保护目的理论之重构,于改之[1],[1]华东政法大学刑事法学院,21,刑法学,,
530,中国法学,2015,0,5,法官如何说理：中国经验与普遍原理,凌斌[1],[1]北京大学法学院,19,诉讼法学,,
531,中国法学,2023,000,6,法定物权的自由展开：经济分析与法律教义,"熊丙万[1,2]",[1]中国人民大学民商事法律科学研究中心;[2]中国人民大学法学院,21,民商法学,,
532,中国法学,2024,000,2,法律人思维与法律观点,陈景辉[1],[1]中国人民大学法学院,20,法学理论,,
533,中国法学,2022,000,2,法律价值的系统论格局,陈征楠[1],[1]华南理工大学法学院,20,法学理论,,
534,中国法学,2022,000,2,法律位阶判断标准的反思与运用,王锴[1],[1]北京航空航天大学法学院,21,法学理论,,
535,中国法学,2018,,3,法律实证研究的兴起与分化,陈柏峰,中南财经政法大学法学院,18,法学理论,,
536,中国法学,2024,000,6,法律思维中的“软计算”和贝叶斯语言方法,刘东亮[1],[1]西安交通大学法学院,19,法学理论,,
537,中国法学,2024,000,3,法律方法的体系构造,黄泽敏[1],[1]上海财经大学法学院,20,法学理论,,
538,中国法学,2020,,6,法律权力的含义和属性,"吴玉章[1,2]",[1]常州大学史良法学院;[2]中国社会科学院法学研究所,17,宪法学与行政法学,,
539,中国法学,2018,,4,法律的“交叉”研究和应用的原理,郑永流,中国政法大学中欧法学院,16,法学理论,,
540,中国法学,2022,0,1,法律监督机关的宪法内涵,朱全宝[1],[1]宁波大学法学院,21,宪法学与行政法学,,
541,中国法学,2016,,5,法律行为解消清算规则之体系统合,汤文平,暨南大学法学院,24,民商法学,,
542,中国法学,2016,,3,法律规范之间抵触标准研究,胡建淼,国家行政学院,20,法学理论,,
543,中国法学,2022,000,5,法律规范事中合宪性审查的制度建构,朱学磊[1],[1]中国社会科学院法学研究所,20,宪法学与行政法学,,
544,中国法学,2022,000,3,法律规范体系化背景下的行政诉讼制度的完善,江必新[1],[1]湖南大学法学院,15,宪法学与行政法学,,
545,中国法学,2018,,1,法律解释方法在指导性案例中的运用及其完善,孙光宁,山东大学（威海）法学院,22,法学理论,,
546,中国法学,2023,000,1,法律解释的公共性,"郭春镇[1,2]",[1]厦门大学法学院;[2]党内法规研究中心,20,法学理论,,
547,中国法学,2015,0,6,法律议论的社会科学研究新范式,季卫东,上海交通大学凯原法学院,17,法学理论,,
548,中国法学,2022,000,3,法律责任概念的反思与重构,李拥军[1],[1]吉林大学法学院,20,刑法学,,
549,中国法学,2020,,5,法律适用中理由和观点的关系:局外观察视角,刘星[1],[1]中国政法大学法学院,20,法学理论,,
550,中国法学,2016,0,6,法治中国建设的“共建共享”路径与策略,马长山,华东政法大学,19,法学理论,,
551,中国法学,2016,0,6,法治中国背景下国家责任论纲,陶凯元,最高人民法院,16,法学理论,,
552,中国法学,2015,0,5,法治体系形成指标的法理研究,关保英[1],[1]上海政法学院,20,法学理论,,
553,中国法学,2016,0,6,法治语境下极端主义犯罪治理定量研究,赵军,北京师范大学刑事法律科学研究院,23,刑法学,,
554,中国法学,2020,,2,法理:法实践的正当性理由,郭晔[1],[1]浙江大学光华法学院,20,法学理论,,
555,中国法学,2020,,2,法理即法律原理之解说,"胡玉鸿[1,2]",[1]华东政法大学法律学院;[2]南京师范大学中国法治现代化研究院,25,法学理论,,
556,中国法学,2021,,5,法理概念的义项、构造与功能:基于120108份裁判文书的分析,郭栋[1],[1]北京大学法学院,20,诉讼法学,,
557,中国法学,2019,,4,法益自决权与侵犯公民个人信息罪的司法边界,"冀洋[1,2]",[1]东南大学法学院;[2]东南大学反腐败法治研究中心暨人民法院司法大数据研究基地,18,刑法学,,
558,中国法学,2015,0,1,注册商标三年不使用撤销制度体系化解读,张玉敏,西南政法大学,15,知识产权法学,,
559,中国法学,2022,000,2,涉外法治的概念与体系,张龑[1],[1]中国人民大学法学院,19,国际法学,,
560,中国法学,2024,000,5,深入推进依法行政,马怀德[1],[1]中国政法大学,6,宪法学与行政法学,,
561,中国法学,2024,000,4,清代的轻罪治理及其当代启示,谢晶[1],[1]中国政法大学法学院,16,刑法学,,
562,中国法学,2016,,5,滥用市场支配地位理论的司法考量,刘贵祥,最高人民法院审判委员会,21,经济法学,,
563,中国法学,2024,000,2,物上担保权益的分层构造及实现保障,张家勇[1],[1]中南财经政法大学法学院,22,民商法学,,
564,中国法学,2020,,4,物权编对四种他物权制度的完善和发展,"崔建远[1,2]",[1]清华大学法学院;[2]中国法学会民法典编纂项目领导小组,18,民商法学,,
565,中国法学,2017,,5,犯罪圈与刑法修正的结构控制,白建军,北京大学法学院,22,刑法学,,
566,中国法学,2016,,2,犯罪热点成因：基于空间相关性的解释,单勇,同济大学法学院,23,刑法学,,
567,中国法学,2017,0,4,环境侵权类型的重构,窦海阳,中国社会科学院法学研究所,21,环境与资源保护法学,,
568,中国法学,2016,0,6,环境司法专门化发展的实证检视：以环境审判机构和环境审判机制为中心,张忠民,中南财经政法大学法学院,20,诉讼法学,,
569,中国法学,2016,,3,环境司法理性不能止于“天价”赔偿：泰州环境公益诉讼案评析,吕忠梅,全国政协社会与法制委员会,21,环境与资源保护法学,,
570,中国法学,2017,,5,环境权的规范效力：可诉性和具体化,胡静,中国政法大学民商经济法学院,21,环境与资源保护法学,,
571,中国法学,2024,000,1,环境民事公益诉讼中停止侵害责任适用研究,胡静[1],[1]中国政法大学民商经济法学院,20,民商法学,,
572,中国法学,2018,,5,环境民事公私益诉讼并行审理的困境与出路,张旭东,福州大学法学院,25,环境与资源保护法学,,
573,中国法学,2025,000,2,环境法体系化的范式转向及其实现,杜辉[1],[1]重庆大学法学院,21,环境与资源保护法学,,
574,中国法学,2022,000,6,环境法典基本原则条款构建研究,曹炜[1],[1]中国人民大学法学院,21,环境与资源保护法学,,
575,中国法学,2023,000,2,环境法典编纂论纲,"吕忠梅[1,2]",[1]中国法学会;[2]中国法学会环境资源法学研究会,23,环境与资源保护法学,,
576,中国法学,2016,,5,环境法学核心范畴之重构：环境法的法权结构论,史玉成,甘肃政法学院,22,环境与资源保护法学,,
577,中国法学,2018,,6,环境监管中的“规范执行偏离效应”研究,曹炜[1],[1]中国人民大学法学院,22,诉讼法学,,
578,中国法学,2017,,1,环境质量标准的侵权法适用研究,陈伟,南京大学法学院,21,环境与资源保护法学,,
579,中国法学,2015,0,6,环境质量目标主义：关于环境法直接规制目标的思考,徐祥民,中国海洋大学,20,环境与资源保护法学,,
580,中国法学,2020,,2,现货与期货交易的界分标准与法律规制,吴越[1],[1]西南财经大学法学院,21,经济法学,,
581,中国法学,2023,000,2,生前赠与在继承中的效力问题研究,李永军[1],[1]中国政法大学民商经济法学院,17,民商法学,,
582,中国法学,2021,,2,生态文明体制改革中自然资源资产分级行使制度研究,邓海峰[1],[1]清华大学法学院,20,环境与资源保护法学,,
583,中国法学,2022,000,6,生态环境修复责任的体系化构造,刘长兴[1],[1]华南理工大学法学院,21,环境与资源保护法学,,
584,中国法学,2023,000,6,生态环境犯罪中的拟制财产权,焦艳鹏[1],[1]华东政法大学,20,刑法学,,
585,中国法学,2024,000,6,生成式人工智能训练语料的个人信息保护研究,"张新宝[1,2]",[1]中国人民大学法学院;[2]中国人民大学民商事法律科学研究中心,22,民商法学,,
586,中国法学,2021,0,6,生物医学研究伦理规制的法治化,赵鹏[1],[1]中国政法大学法治政府研究院,20,环境与资源保护法学,,
587,中国法学,2018,,3,用中国特色社会主义法治理论引领法治体系建设,胡明,中国政法大学党委,22,法学理论,,
589,中国法学,2019,,6,电子商务平台经营者安保责任研究,王道发[1],[1]中央财经大学法学院,19,民商法学,,
590,中国法学,2018,,1,登记对抗主义的反思与改造：《物权法》第24条解析,庄加园,上海交通大学凯原法学院,18,民商法学,,
591,中国法学,2016,0,1,监控者与管理者可否合一：行政法学体系转型的基础问题,沈岿,北京大学宪法与行政法研究中心,21,宪法学与行政法学,,
592,中国法学,2015,0,4,相对集中行政处罚权改革研究,王敬波,,20,宪法学与行政法学,,
593,中国法学,2023,000,6,知识产权法与反不正当竞争法关系重探,刘银良[1],[1]烟台大学,19,知识产权法学,,
594,中国法学,2021,,5,知识产权许可费赔偿方法的功能、价值准则与体系重构,杨涛[1],[1]华中师范大学法学院,19,知识产权法学,,
595,中国法学,2022,000,3,知道规则的内在逻辑与科学分类,张继成[1],[1]中南财经政法大学法学院,21,法学理论,,
596,中国法学,2018,,2,破产程序中的税法问题研究,徐阳光,中国人民大学法学院,20,民商法学,,
597,中国法学,2022,000,2,社会主义核心价值观的法源地位及其作用提升,孙光宁[1],[1]山东大学法学院(威海),19,法学理论,,
598,中国法学,2019,,5,社会信用体系建设的法治之道,沈岿[1],[1]北京大学法学院,22,法学理论,,
599,中国法学,2024,000,5,社会本位的中国基本权利功能体系构建,"李忠夏[1,2]",[1]中国人民大学法学院;[2]中国人民大学习近平法治思想研究中心,21,宪法学与行政法学,,
600,中国法学,2023,000,5,社会系统论视角下实现碳达峰碳中和目标的法律对策,曹明德[1],[1]中国政法大学民商经济法学院,21,环境与资源保护法学,,
601,中国法学,2017,,1,社会组织及其法制化研究,鲍绍坤,中国法学会,12,法学理论,,
602,中国法学,2015,0,5,社会自我规制与行政法的任务,高秦伟[1],[1]中央财经大学法学院,26,宪法学与行政法学,,
603,中国法学,2022,000,3,社会诚信机制基层运用的实践逻辑,陈柏峰[1],[1]中南财经政法大学法学院、国家治理学院,20,法学理论,,
604,中国法学,2022,0,1,禁止重复起诉规则之重构:以合同效力的职权审查为背景,曹志勋[1],[1]北京大学法学院,25,诉讼法学,,
605,中国法学,2021,0,1,私人复制的著作权法制度应对:从机械复制到云服务,杨明,北京大学法学院,21,知识产权法学,,
606,中国法学,2019,,4,私法渗入公法的必然与边界,张淑芳[1],[1]上海财经大学法学院,22,民商法学,,
607,中国法学,2017,,1,科研人员的刑法定位：从宪法教义学视域的思考,姜涛,南京师范大学法学院,19,宪法学与行政法学,,
608,中国法学,2020,,3,科研项目经费管理改革的法治化路径,蒋悟真[1],[1]华南理工大学法学院、法治经济与法治社会研究中心,21,法学理论,,
609,中国法学,2015,0,2,程序性救济的制度模式及改造,詹建红[1],[1]中南财经政法大学法学院,15,法学理论,,
610,中国法学,2022,000,5,程序性犯罪构成要素的性质,杜宇[1],[1]复旦大学法学院,23,刑法学,,
611,中国法学,2016,,4,税收法定视域中的地方税收立法权,苗连营,郑州大学法学院,20,宪法学与行政法学,,
612,中国法学,2018,,4,立案登记背景下立案庭的定位及其未来走向,张嘉军,郑州大学法学院,21,诉讼法学,,
613,中国法学,2024,000,3,立法主体宪法说理义务的法律化,任喜荣[1],[1]吉林大学理论法学研究中心、法学院,18,宪法学与行政法学,,
614,中国法学,2021,,4,立法原意何处寻:评2021年最高人民法院适用刑事诉讼法司法解释,龙宗智[1],[1]四川大学法学院,20,刑法学,,
615,中国法学,2018,,3,立法性决定的界定与效力,金梦,华东政法大学法律方法研究院、立法与政治发展研究中心,17,法学理论,,
616,中国法学,2020,,1,立法扩张与司法限缩:刑法谦抑性的展开,田宏杰[1],[1]中国人民大学刑事法律科学研究中心,18,刑法学,,
617,中国法学,2025,000,2,立法社会效果考量的方式及其决策思维,"王怡[1,2]",[1]中国社会科学院法学研究所;[2]中国社会科学院大学法学院,19,法学理论,,
618,中国法学,2017,0,4,符合强制性标准与侵权责任承担的关系,谭启平,西南政法大学民商法学院,14,民商法学,,
619,中国法学,2022,0,1,符合法律的宪法解释与宪法发展,杜强强[1],[1]首都师范大学政法学院,18,宪法学与行政法学,,
620,中国法学,2023,000,4,答复类行政解释的行政诉讼法定位及其司法审查,金自宁[1],[1]北京大学法学院,18,宪法学与行政法学,,
621,中国法学,2017,0,4,简牍所见秦县少吏研究,朱腾,中国人民大学法学院,19,法律史,,
622,中国法学,2022,000,3,算法侵害责任框架刍议,王莹[1],[1]中国人民大学法学院未来法治研究院、刑事法律科学研究中心,20,民商法学,,
623,中国法学,2020,,3,算法规制的谱系,苏宇[1],[1]中国人民公安大学法学与犯罪学学院,20,宪法学与行政法学,,
624,中国法学,2020,,4,类似必要共同诉讼适用机制研究,"汤维建[1,2]",[1]中国人民大学法学院;[2]中国人民大学民商事法律科学研究中心,21,诉讼法学,,
625,中国法学,2018,,4,精神文明的宪法叙事：规范内涵与宪制结构,秦小建,华中科技大学法学院,21,宪法学与行政法学,,
626,中国法学,2018,,1,系列杀人犯罪侦查分析模型的创建与检验,曾赟,广州大学法学院,20,刑法学,,
627,中国法学,2019,,1,系统论宪法学新思维的七个命题,陆宇峰[1],[1]华东政法大学科学研究院,22,宪法学与行政法学,,
628,中国法学,2024,000,6,系统论法学视角下现代司法裁判中规范与事实的区分,泮伟江[1],[1]北京航空航天大学法学院,19,法学理论,,
629,中国法学,2020,,3,索债型非法拘禁罪扩张适用下对绑架罪的再认识,徐光华[1],[1]江西财经大学法学院,21,刑法学,,
630,中国法学,2021,,2,紧急状态下的法治与社会正义,郑玉双[1],[1]中国政法大学法理学研究所,20,法学理论,,
631,中国法学,2016,0,1,累犯从严量刑适用实证研究,劳佳琦,北京师范大学刑事法律科学研究院,22,刑法学,,
632,中国法学,2024,000,1,纪检监察学“三大体系”论纲,刘练军[1],[1]东南大学法学院暨东南大学党内法规研究中心,20,法学理论,,
633,中国法学,2019,,1,纳税便利原则研究,单飞跃[1],[1]上海财经大学法学院,22,经济法学,,
634,中国法学,2019,,5,组织法的诉讼构造:公司决议纠纷诉讼规则重构,丁勇[1],[1]华东政法大学,20,民商法学,,
635,中国法学,2019,,6,组织法视阈中的公司决议及其法律适用,周淳[1],[1]浙江大学光华法学院,22,民商法学,,
636,中国法学,2016,,3,经理雇佣合同与委任合同之分辨,王天玉,清华大学法学院,21,民商法学,,
637,中国法学,2015,0,5,经营者集中法律界定模式研究,叶军[1],[1]商务部反垄断局,25,经济法学,,
638,中国法学,2017,,6,绿色“一带一路”环境法规制研究,"孙佑海[1,2]",[1]天津大学法学院;[2]天津大学中国绿色发展研究院,19,环境与资源保护法学,,
639,中国法学,2019,,2,绿色原则与法经济学,贺剑[1],[1]北京大学法学院,18,环境与资源保护法学,,
640,中国法学,2016,0,1,绿色发展中的环境法实施问题：基于PX事件的微观分析,陈海嵩,中南大学法学院,18,环境与资源保护法学,,
641,中国法学,2021,,3,编纂实施民法典是习近平法治思想的生动实践,"王轶[1,2]",[1]中国人民大学民商事法律科学研究中心;[2]中国人民大学习近平法治思想研究中心学术委员会,13,民商法学,,
642,中国法学,2017,,6,网络借贷平台法律监管研究,冯辉,对外经济贸易大学法学院,19,经济法学,,
643,中国法学,2023,000,3,网络平台治理立法的反思与完善,张新平[1],[1]中南大学法学院,20,经济法学,,
644,中国法学,2023,000,5,网络时代的刑法立法体系及其建构,李晓明[1],[1]苏州大学王健法学院,20,刑法学,,
645,中国法学,2019,,6,网络犯罪的刑法解释空间向度研究,刘艳红[1],[1]东南大学法学院,22,刑法学,,
646,中国法学,2020,,6,网络社会司法治理的实践探索与前景展望,李占国[1],[1]浙江省高级人民法院,19,诉讼法学,,
647,中国法学,2018,,2,网络社会法律治理与技术治理的二元共治,郑智航,山东大学法学院,23,法学理论,,
648,中国法学,2016,,2,网络空间中犯罪帮助行为的制裁体系与完善思路,"于志刚[1,2]",[1]中国政法大学;[2]中国政法大学网络法研究中心,20,刑法学,,
649,中国法学,2022,000,2,网络空间适用禁止使用武力原则的法律路径,张华[1],[1]南京大学法学院,22,国际法学,,
650,中国法学,2015,0,3,网络诽谤的争议问题探究,张明楷[1],[1]清华大学法学院,20,刑法学,,
651,中国法学,2021,,3,网络谣言的刑法治理:从宪法的视角,"姜涛[1,2,3]",[1]南京师范大学法学院;[2]中国法治现代化研究院;[3]高校区域法治协调创新中心,21,宪法学与行政法学,,
652,中国法学,2017,,2,署名权主体规则的困惑及思考,张玲,南开大学法学院,23,知识产权法学,,
653,中国法学,2017,0,4,聂树斌案再审：由来、问题与意义,胡云腾,最高人民法院,18,诉讼法学,,
654,中国法学,2016,,3,职务发明奖酬管制的理论困境与现实出路,蒋舸,清华大学法学院,20,知识产权法学,,
655,中国法学,2022,000,3,职场智能监控下的劳动者个人信息保护——以目的原则为中心,田野[1],[1]天津大学法学院,17,经济法学,民商法学,
656,中国法学,2015,0,5,股东优先购买权“穿透效力”的适用与限制,郑彧[1],[1]华东政法大学,19,民商法学,,
657,中国法学,2017,,2,股东会与董事会分权制度研究,许可,中国人民大学法学院,20,民商法学,,
658,中国法学,2023,000,5,股东协议暗箱治理的公司法回应,"汪青松[1,2]",[1]西南政法大学市场交易法律制度研究基地;[2]西南政法大学民商法学院,19,民商法学,,
659,中国法学,2018,,6,股权让与担保纠纷裁判逻辑的实证研究,蔡立东[1],[1]吉林大学法学院,19,民商法学,,
660,中国法学,2017,,2,股权转让合同解除权的司法判断与法理研究,万方,北京外国语大学法学院,20,民商法学,,
661,中国法学,2021,0,1,股权转让行为的属性及其规范,钱玉林,华东政法大学经济法学院,18,民商法学,,
662,中国法学,2025,000,2,脑机接口技术发展中的人格权益保护,张红[1],[1]武汉大学法学院,20,民商法学,,
663,中国法学,2021,,4,自然资源之上权利的层次性,单平基[1],[1]东南大学法学院,20,环境与资源保护法学,,
664,中国法学,2016,0,6,自然资源国家所有的制度性保障功能,刘练军,杭州师范大学法学院,20,环境与资源保护法学,,
665,中国法学,2016,0,1,舆论场内的司法自洽性研究：以李昌奎案的模拟实验分析为介质,"李奋飞[1,2]",[1]中国人民大学法学院;[2]中国人民大学刑事法律科学研究中心,20,诉讼法学,,
666,中国法学,2018,,6,董事会对短期主义行为的治理,侯东德[1],[1]西南政法大学民商法学院,18,民商法学,,
667,中国法学,2023,000,4,虚开增值税专用发票罪的理论误区与治理重塑,"田宏杰[1,2]",[1]中国人民大学法学院;[2]刑事法律科学研究中心,20,刑法学,,
668,中国法学,2017,,2,虚拟财产的刑法属性及其保护路径,陈兴良,北京大学法学院,27,刑法学,,
669,中国法学,2022,000,6,行为市场失灵及其法律应对,应飞虎[1],[1]广州大学法学院,22,经济法学,,
670,中国法学,2016,,2,行刑衔接中的行政执法边界研究,练育强,华东政法大学,20,刑法学,,
671,中国法学,2019,,5,行政举报案件中原告资格认定的构造,伏创宇[1],[1]中国社会科学院大学政法学院,18,宪法学与行政法学,,
672,中国法学,2015,0,6,行政决策终身责任追究制的法律难题及其解决,韩春晖,国家行政学院,17,宪法学与行政法学,,
673,中国法学,2019,,3,行政判决中比例原则的适用,刘权[1],[1]中央财经大学法学院,21,法学理论,,
674,中国法学,2023,000,2,行政协议与单方行为的界分,刘飞[1],[1]中国政法大学中欧法学院,19,宪法学与行政法学,,
675,中国法学,2022,0,1,行政协议变更、解除制度的整合与完善,陈天昊[1],[1]清华大学公共管理学院,24,宪法学与行政法学,,
676,中国法学,2019,,1,行政协议的识别与边界,陈天昊[1],[1]清华大学公共管理学院,24,宪法学与行政法学,,
677,中国法学,2019,,4,行政契约履行争议适用《行政诉讼法》第97条之探讨,于立深[1],[1]东南大学法学院,16,宪法学与行政法学,,
678,中国法学,2017,,1,行政审批（许可）权力清单建构中的法律问题,王克稳,苏州大学王健法学院,20,宪法学与行政法学,,
679,中国法学,2022,000,3,行政机关间的事务委托和职权委托,叶必丰[1],[1]上海交通大学法学院,21,宪法学与行政法学,,
680,中国法学,2024,000,3,行政权利论,何海波[1],[1]清华大学法学院,21,宪法学与行政法学,,
